selected_model,raw_action,dose,blood glucose,reward,meal,risk,time
innermodel,0.0,0.0,121.36645,12.00341581511828,0.0,1.4109861022365546,00:03
innermodel,0.0,0.0,122.65422,13.94049998588569,0.0,1.418845150948074,00:06
innermodel,0.0,0.0,124.58347,13.897774132690396,0.0,1.4118798701360533,00:09
innermodel,0.0,0.0,126.966385,13.853039258914286,0.0,1.3991328011489186,00:12
innermodel,0.0,0.0,129.56175,13.815331654680708,0.0,1.3852327891301597,00:15
innermodel,0.0,0.0,132.09874,13.796140366301525,0.0,1.3723600915581842,00:18
highmodel,30.0,1.3024685382843018,134.29059,13.806341327490152,0.0,1.3614002891338817,00:21
highmodel,30.0,0.0,135.84218,13.853562897435971,0.0,1.3525699346809927,00:24
highmodel,30.0,0.0,136.49191,13.936453276498273,0.0,1.3456263109868343,00:27
highmodel,30.0,0.0,136.20596,14.028126415782612,0.0,1.3399023358407938,00:30
highmodel,30.0,0.0,135.29507,14.087918536252722,0.0,1.3344448576825174,00:33
highmodel,30.0,0.0,134.14558,14.107235861367078,0.0,1.3281923241947493,00:36
highmodel,30.0,0.0,133.14363,14.090011439100959,0.0,1.3201154419976002,00:39
highmodel,30.0,0.0,132.63892,14.044095275548173,0.0,1.3093104510914468,00:42
highmodel,30.0,0.0,132.75876,13.989606301115565,0.0,1.2950526326940133,00:45
highmodel,30.0,0.0,133.29645,13.952781269991226,0.0,1.2768201721982086,00:48
highmodel,30.0,0.1927512139081955,133.9725,13.939286693161426,0.0,1.254297179669279,00:51
highmodel,30.0,0.0,134.50917,13.95075312839074,0.0,1.2273595398141581,00:54
highmodel,30.0,0.0,134.65393,13.986559252276665,0.0,1.1960359968039376,00:57
highmodel,30.0,0.0,134.29796,14.032932555310005,0.0,1.1604653309289832,01:00
highmodel,30.0,0.0,133.54732,14.06811308385728,0.0,1.120880055185661,01:03
highmodel,30.0,0.0,132.55632,14.087103972035049,0.0,1.0776016234938766,01:06
highmodel,30.0,0.0,131.48004,14.090886032849916,0.0,1.0310333896138808,01:09
highmodel,30.0,0.0,130.45734,14.082690040695528,0.0,0.9816487588368787,01:12
highmodel,30.0,0.0,129.52634,14.072087968116552,0.0,0.9299754951452033,01:15
innermodel,0.0,0.0,128.57368,14.070546123935557,0.0,0.8765779037030115,01:18
innermodel,0.0,0.0,127.452675,14.078743821970836,0.0,0.8220385036545658,01:21
innermodel,0.0,0.0,126.016884,14.093917912409063,0.0,0.7669404489949125,01:24
innermodel,0.0,0.0,124.145836,14.110270175962546,0.0,0.7118515706732708,01:27
innermodel,0.0,0.0,121.87347,14.114618311813452,0.0,0.6573105804878749,01:30
innermodel,0.0,0.0,119.46526,14.09707674696904,0.0,0.6038157162319937,01:33
innermodel,0.0,0.0,117.23808,14.066112717073217,0.0,0.5518159139364812,01:36
innermodel,0.0,0.0,115.50867,14.034786278389351,0.0,0.5017044554051424,01:39
innermodel,0.0,0.0,114.558495,14.01269182915847,0.0,0.45381494524301913,01:42
innermodel,0.0,0.0,114.458046,14.001069141390897,0.0,0.4084194105731396,01:45
innermodel,0.0,0.0,114.961464,13.9941152163775,0.0,0.3657282801651823,01:48
innermodel,0.0,0.0,115.75236,13.988125855568857,0.0,0.32589198133425246,01:51
innermodel,0.0,0.0,116.51408,13.985579688327068,0.0,0.2890038879110123,01:54
innermodel,0.0,0.0,116.9545,13.990349030949332,0.0,0.2551043572629644,01:57
innermodel,0.0,0.0,116.929886,14.00056438465555,0.0,0.22418560607585403,02:00
innermodel,0.0,0.0,116.51928,14.008978183112621,0.0,0.19619719133672542,02:03
innermodel,0.0,0.0,115.85099,14.012825185376402,0.0,0.17105188310289265,02:06
innermodel,0.0,0.0,115.053085,14.01236577739511,0.0,0.14863173793592738,02:09
innermodel,0.0,0.0,114.25338,14.009112224146367,0.0,0.1287942053182361,02:12
innermodel,0.0,0.0,113.579445,14.005077879248143,0.0,0.11137812313803525,02:15
innermodel,0.0,0.0,113.15863,14.001944132146935,0.0,0.09620948177369681,02:18
innermodel,0.0,0.0,113.11808,14.000137038611381,0.0,0.08310685890877557,02:21
innermodel,0.0,0.0,113.58473,13.997888359081006,0.0,0.0718864485606184,02:24
innermodel,0.0,0.0,114.43742,13.993150109279448,0.0,0.0623666276041946,02:27
innermodel,0.0,0.0,115.17438,13.99101961308158,0.0,0.054372021104608405,02:30
innermodel,0.0,0.0,115.65553,13.992632874988807,0.0,0.04773704390105365,02:33
innermodel,0.0,0.0,116.00272,13.993955924854557,0.0,0.04230891004477816,02:36
innermodel,0.0,0.0,116.33766,13.993596506511576,0.0,0.03795011387512273,02:39
innermodel,0.0,0.0,116.781944,13.990646629273462,0.0,0.034540396761633015,02:42
