selected_model,raw_action,dose,blood glucose,reward,meal,risk,time,phase_type,phase_progress,phase_intensity,shaped_bonus,bg_slope
highmodel,30.0,1.4276202917099,135.96797,12.416115871204408,0.0,1.576011748259192,00:03,0,0.0,0.0,0.0,0.0
highmodel,30.0,0.0,132.92305,14.281323706051804,0.0,1.4673142809166928,00:06,0,0.0,0.0,0.0,-3.044921875
highmodel,30.0,0.0,130.92818,14.16781327866025,0.0,1.3910564263755933,00:09,0,0.0,0.0,0.0,-1.994873046875
highmodel,30.0,0.0,129.8518,14.084854615410748,0.0,1.3365913584933156,00:12,0,0.0,0.0,0.0,-1.0763702392578125
innermodel,30.0,0.0,129.586,14.020324192999086,0.0,1.2963318770920873,00:15,0,0.0,0.0,0.0,-0.26580810546875
innermodel,30.0,0.0,130.03976,13.965152429435328,0.0,1.2647334193265294,00:18,0,0.0,0.0,0.0,0.453765869140625
highmodel,30.0,0.0,131.13507,13.912894451210544,0.0,1.2376959353413552,00:21,0,0.0,0.0,0.0,1.095306396484375
highmodel,30.0,0.0,132.8041,13.85934298204917,0.0,1.212192622534757,00:24,0,0.0,0.0,0.0,1.6690216064453125
highmodel,30.0,0.0,134.96631,13.804092028540492,0.0,1.1860263793793189,00:27,0,0.0,0.0,0.0,2.1622161865234375
highmodel,30.0,0.0,137.42226,13.759636817335734,0.0,1.1576598477780569,00:30,0,0.0,0.0,0.0,2.4559478759765625
highmodel,30.0,0.18638858199119568,139.78955,13.75130091504401,0.0,1.1260888379356213,00:33,0,0.0,0.0,0.0,2.3672943115234375
highmodel,30.0,0.0,141.64825,-4.030513583760342,0.0,1.0907393385763122,00:36,0,0.0,0.0,0.0,1.85870361328125
highmodel,30.0,0.0,142.58183,-4.398123885295623,0.0,1.0513673663033616,00:39,0,0.0,0.0,0.0,0.9335784912109375
highmodel,30.0,0.0,142.23358,-4.0765283321576264,0.0,1.0079724895358328,00:42,0,0.0,0.0,0.0,-0.3482513427734375
highmodel,30.0,0.0,140.59343,-3.1114734454549575,0.0,0.9607470618487152,00:45,0,0.0,0.0,0.0,-1.6401519775390625
highmodel,30.0,0.0,138.16985,14.26001083920433,0.0,0.910043582968108,00:48,0,0.0,0.0,0.0,-2.423583984375
highmodel,30.0,0.0,135.5875,14.258100069947448,0.0,0.8563454081584599,00:51,0,0.0,0.0,0.0,-2.5823516845703125
highmodel,30.0,0.0,133.47218,14.19603620635657,0.0,0.8002371577621945,00:54,0,0.0,0.0,0.0,-2.1153106689453125
highmodel,30.0,0.0,132.38498,14.095117589526737,0.0,0.7423748761588905,00:57,0,0.0,0.0,0.0,-1.0872039794921875
highmodel,30.0,0.0,132.4941,13.990630005255069,0.0,0.6834569610440349,01:00,0,0.0,0.0,0.0,0.1091156005859375
highmodel,30.0,0.07854719460010529,133.37798,13.92264909486877,0.0,0.6241969382783714,01:03,0,0.0,0.0,0.0,0.883880615234375
highmodel,30.0,0.0,134.48418,13.899596305147712,0.0,0.5652980755261393,01:06,0,0.0,0.0,0.0,1.106201171875
highmodel,30.0,0.0,135.26045,13.927205085442974,0.0,0.5074273544269471,01:09,0,0.0,0.0,0.0,0.776275634765625
highmodel,30.0,0.0,135.212,14.00459892438506,0.0,0.4511945684054677,01:12,0,0.0,0.0,0.0,-0.0484466552734375
highmodel,30.0,0.0,134.18861,14.095408494837116,0.0,0.39714319077182714,01:15,0,0.0,0.0,0.0,-1.0233917236328125
highmodel,30.0,0.0,132.55704,14.145119934335503,0.0,0.34574693718348926,01:18,0,0.0,0.0,0.0,-1.6315765380859375
highmodel,30.0,0.0,130.7988,14.14643239045861,0.0,0.29740761962299317,01:21,0,0.0,0.0,0.0,-1.75823974609375
highmodel,30.0,0.0,129.39523,14.109196918136197,0.0,0.25245349346881785,01:24,0,0.0,0.0,0.0,-1.403564453125
innermodel,30.0,0.0,128.77328,14.046135225894513,0.0,0.21113830473781595,01:27,0,0.0,0.0,0.0,-0.6219482421875
innermodel,30.0,0.0,129.03467,13.98078157540018,0.0,0.17364137660566653,01:30,0,0.0,0.0,0.0,0.261383056640625
innermodel,30.0,0.0,129.7933,13.942823255698713,0.0,0.14006896583994013,01:33,0,0.0,0.0,0.0,0.758636474609375
innermodel,30.0,0.0,130.55449,13.940568940175904,0.0,0.11045696821351965,01:36,0,0.0,0.0,0.0,0.7611846923828125
highmodel,30.0,0.0,130.82332,13.978525151386226,0.0,0.08477492207594456,01:39,0,0.0,0.0,0.0,0.268829345703125
highmodel,30.0,0.0,130.15367,14.053024036476689,0.0,0.06293116723043612,01:42,0,0.0,0.0,0.0,-0.669647216796875
highmodel,30.0,0.0,128.39392,14.131725231297864,0.0,0.044778960308251986,01:45,0,0.0,0.0,0.0,-1.7597503662109375
innermodel,30.0,0.0,125.8342,14.171099783195224,0.0,0.030123320674002883,01:48,0,0.0,0.0,0.0,-2.559722900390625
innermodel,30.0,0.0,122.8626,14.166287843419486,0.0,0.018728374737585304,01:51,0,0.0,0.0,0.0,-2.9715957641601562
innermodel,30.0,0.0,119.86699,14.129912217727355,0.0,0.01032497477436755,01:54,0,0.0,0.0,0.0,-2.9956130981445312
innermodel,30.0,0.0,117.20778,14.081235706934915,0.0,0.004618385868865132,01:57,0,0.0,0.0,0.0,-2.659210205078125
innermodel,30.0,0.0,115.08229,14.040318811079626,0.0,0.0012958576619433,02:00,0,0.0,0.0,0.0,-2.12548828125
innermodel,30.0,0.0,113.44325,14.015318545431791,0.0,3.3923528869809316e-05,02:03,0,0.0,0.0,0.0,-1.6390380859375
innermodel,30.0,0.0,112.188896,14.002035870095789,0.0,0.0005052967675249822,02:06,0,0.0,0.0,0.0,-1.2543563842773438
innermodel,30.0,0.0,111.21723,13.995606473924422,0.0,0.0023852600242416705,02:09,0,0.0,0.0,0.0,-0.9716644287109375
innermodel,30.0,0.0,110.4261,13.99247000612041,0.0,0.005357469628897104,02:12,0,0.0,0.0,0.0,-0.7911300659179688
innermodel,30.0,0.0,109.71314,13.990107740138516,0.0,0.009119120145411467,02:15,0,0.0,0.0,0.0,-0.7129592895507812
innermodel,30.0,0.0,108.97587,13.986610734959442,0.0,0.013385435879737175,02:18,0,0.0,0.0,0.0,-0.737274169921875
innermodel,30.0,0.0,108.11161,13.980129508023714,0.0,0.01789347509833067,02:21,0,0.0,0.0,0.0,-0.8642578125
innermodel,30.0,0.0,107.01758,13.968226363195406,0.0,0.022405249193524726,02:24,0,0.0,0.0,0.0,-1.0940322875976562
innermodel,30.0,0.0,104.416595,13.893507855658466,0.0,0.026710172981736845,02:27,0,0.0,0.0,0.0,-2.600982666015625
innermodel,30.0,0.0,99.81563,-10.39578635933399,0.0,0.03062687380318154,02:30,0,0.0,0.0,0.0,-4.6009674072265625
innermodel,30.0,0.0,96.97461,-11.780924634261796,0.0,0.03400439623137093,02:33,0,0.0,0.0,0.0,-2.8410186767578125
innermodel,30.0,0.0,95.62804,-12.33652453995853,0.0,0.03672284616182386,02:36,0,0.0,0.0,0.0,-1.3465728759765625
innermodel,30.0,0.0,95.51032,-12.258744518573952,0.0,0.03869352302539631,02:39,0,0.0,0.0,0.0,-0.11771392822265625
innermodel,30.0,0.0,96.35582,-11.724887782574836,0.0,0.03985859207378234,02:42,0,0.0,0.0,0.0,0.8454971313476562
innermodel,30.0,0.0,97.89881,-10.888897667392618,0.0,0.040190350332547004,02:45,0,0.0,0.0,0.0,1.5429916381835938
innermodel,30.0,0.0,99.87354,-9.884650301534792,0.0,0.03969014013097796,02:48,0,0.0,0.0,0.0,1.9747314453125
innermodel,30.0,0.0,102.01421,14.159504890970021,0.0,0.038386963312963145,02:51,0,0.0,0.0,0.0,2.1406707763671875
innermodel,30.0,0.0,104.05497,14.120910137497702,0.0,0.03633584751359226,02:54,0,0.0,0.0,0.0,2.0407562255859375
innermodel,30.0,0.0,105.75064,14.07856635738441,0.0,0.03361601344225112,02:57,0,0.0,0.0,0.0,1.6956710815429688
innermodel,30.0,0.0,106.98023,14.04509406072323,0.0,0.03032888911851967,03:00,0,0.0,0.0,0.0,1.2295913696289062
innermodel,30.0,0.0,107.80902,14.024951243336478,0.0,0.026596013617220485,03:03,0,0.0,0.0,0.0,0.8287887573242188
innermodel,30.0,0.0,108.34369,14.013823869107156,0.0,0.022556869230067687,03:06,0,0.0,0.0,0.0,0.53466796875
innermodel,30.0,0.0,108.690865,14.008036708522877,0.0,0.018366677160869548,03:09,0,0.0,0.0,0.0,0.34717559814453125
innermodel,30.0,0.0,108.95067,14.005534781719415,0.0,0.014194188038294201,03:12,0,0.0,0.0,0.0,0.25980377197265625
innermodel,30.0,0.0,109.18391,14.004622223340622,0.0,0.010219494736429179,03:15,0,0.0,0.0,0.0,0.23323822021484375
innermodel,30.0,0.0,109.392525,14.003857954274961,0.0,0.00663189130479435,03:18,0,0.0,0.0,0.0,0.2086181640625
innermodel,30.0,0.0,109.565346,14.002999655725677,0.0,0.003627798276969835,03:21,0,0.0,0.0,0.0,0.172821044921875
innermodel,30.0,0.0,109.69123,14.002073216264405,0.0,0.001408771289377224,03:24,0,0.0,0.0,0.0,0.125885009765625
innermodel,30.0,0.0,109.76062,14.001102825581729,0.0,0.00017960682580210518,03:27,0,0.0,0.0,0.0,0.06938934326171875
innermodel,30.0,0.0,109.77376,14.000205642796747,0.0,0.00014655602683251185,03:30,0,0.0,0.0,0.0,0.0131378173828125
innermodel,30.0,0.0,109.74554,13.999557105689302,0.0,0.0015156548757692817,03:33,0,0.0,0.0,0.0,-0.02822113037109375
innermodel,30.0,0.0,109.69411,13.99918069480903,0.0,0.004491176696739884,03:36,0,0.0,0.0,0.0,-0.05142974853515625
innermodel,30.0,0.0,109.6376,13.999082034548866,0.0,0.009274210774121487,03:39,0,0.0,0.0,0.0,-0.0565032958984375
innermodel,30.0,0.0,109.59422,13.99928233584215,0.0,0.016061369018296853,03:42,0,0.0,0.0,0.0,-0.0433807373046875
innermodel,30.0,0.0,109.58228,13.999800471157933,0.0,0.025043620951310866,03:45,0,0.0,0.0,0.0,-0.01194000244140625
innermodel,30.0,0.0,109.62031,14.000632377604322,0.0,0.03640525585494402,03:48,0,0.0,0.0,0.0,0.03802490234375
innermodel,30.0,0.0,109.72688,14.001726778225457,0.0,0.05032296969932318,03:51,0,0.0,0.0,0.0,0.10657501220703125
innermodel,30.0,0.0,109.92061,14.002966985793076,0.0,0.06696507343754254,03:54,0,0.0,0.0,0.0,0.1937255859375
innermodel,30.0,0.0,110.22592,14.004228882486228,0.0,0.08649081839575878,03:57,0,0.0,0.0,0.0,0.3053131103515625
innermodel,30.0,0.0,110.70237,14.00551555204488,0.0,0.1090498337932298,04:00,0,0.0,0.0,0.0,0.47644805908203125
innermodel,30.0,0.0,111.462166,14.006099417861478,0.0,0.13478167087790077,04:03,0,0.0,0.0,0.0,0.759796142578125
innermodel,30.0,0.0,112.62922,14.003048671076282,0.0,0.16381544774547785,04:06,0,0.0,0.0,0.0,1.16705322265625
innermodel,30.0,0.0,114.32745,13.991186382495597,0.0,0.1962695886093195,04:09,0,0.0,0.0,0.0,1.6982345581054688
innermodel,30.0,0.0,116.66234,13.963367135758794,0.0,0.23225165109178647,04:12,0,0.0,0.0,0.0,2.3348846435546875
innermodel,30.0,0.0,119.6287,13.914897469621017,0.0,0.2718582350021426,04:15,0,0.0,0.0,0.0,2.9663619995117188
innermodel,30.0,0.0,123.05534,13.85178018591675,0.0,0.3151749660397828,04:18,0,0.0,0.0,0.0,3.4266433715820312
innermodel,30.0,0.0,126.73421,13.78608559130927,0.0,0.3622765479044015,04:21,0,0.0,0.0,0.0,3.678863525390625
innermodel,30.0,0.0,130.45721,13.73064666750444,0.0,0.4132268763954566,04:24,0,0.0,0.0,0.0,3.7230072021484375
highmodel,30.0,1.2449885606765747,134.0326,13.695484625663118,0.0,0.4680789703231182,04:27,0,0.0,0.0,0.0,3.57537841796875
highmodel,30.0,0.0,137.36607,13.678888474719615,0.0,0.526859580626257,04:30,0,0.0,0.0,0.0,3.3334808349609375
highmodel,30.0,0.0,140.5088,-3.5875368731619197,0.0,0.5894676309040706,04:33,0,0.0,0.0,0.0,3.142730712890625
highmodel,30.0,0.0,143.54189,-5.118457897953015,0.0,0.6555363637029182,04:36,0,0.0,0.0,0.0,3.0330810546875
highmodel,30.0,0.0,146.54346,-6.639083829753895,0.0,0.7244108814307204,04:39,0,0.0,0.0,0.0,3.0015716552734375
