selected_model,raw_action,dose,blood glucose,reward,meal,risk,time,phase_type,phase_progress,phase_intensity,shaped_bonus,bg_slope
highmodel,30.0,2.0982468128204346,164.09552,-37.46231066133834,0.0,1.2907856185659938,00:03,0,0.0,0.0,0.0,0.0
highmodel,30.0,0.0,164.0647,-37.027377783726415,0.0,1.2976902906728118,00:06,0,0.0,0.0,0.0,-0.03082275390625
highmodel,30.0,0.0,162.58598,-36.05638868651125,0.0,1.3039279623286226,00:09,0,0.0,0.0,0.0,-1.4787139892578125
highmodel,30.0,0.0,160.06635,-34.63865027545168,0.0,1.3080891671081813,00:12,0,0.0,0.0,0.0,-2.5196380615234375
highmodel,30.0,0.0,156.91382,-17.979423006616127,0.0,1.3087798219687459,00:15,0,0.0,0.0,0.0,-3.15252685546875
highmodel,30.0,0.0,153.53648,-16.277953438224856,0.0,1.3046271600181845,00:18,0,0.0,0.0,0.0,-3.3773345947265625
highmodel,30.0,0.0,150.34306,-14.729645443233501,0.0,1.2943754367975417,00:21,0,0.0,0.0,0.0,-3.19342041015625
highmodel,30.0,0.0,147.74374,-6.52885313570675,0.0,1.2769846160287135,00:24,0,0.0,0.0,0.0,-2.5993194580078125
highmodel,30.0,0.0,146.10262,-5.842869590084481,0.0,1.251703815762649,00:27,0,0.0,0.0,0.0,-1.6411285400390625
highmodel,30.0,0.0,145.49698,-5.673217586192173,0.0,1.2181132813096616,00:30,0,0.0,0.0,0.0,-0.6056365966796875
highmodel,30.0,0.0,145.57292,-5.795850683659205,0.0,1.176137216415567,00:33,0,0.0,0.0,0.0,0.0759429931640625
highmodel,30.0,0.0,145.88263,-5.97975274561543,0.0,1.126032810023657,00:36,0,0.0,0.0,0.0,0.3097076416015625
highmodel,30.0,0.0,145.98059,-6.002502490307762,0.0,1.0683614124066214,00:39,0,0.0,0.0,0.0,0.09796142578125
highmodel,30.0,0.0,145.4667,-5.669580340711537,0.0,1.003947424653204,00:42,0,0.0,0.0,0.0,-0.513885498046875
highmodel,30.0,0.0,144.20285,-4.947381341621575,0.0,0.933829695110841,00:45,0,0.0,0.0,0.0,-1.26385498046875
highmodel,30.0,0.0,142.44267,-4.013609237880079,0.0,0.8592093523749207,00:48,0,0.0,0.0,0.0,-1.7601776123046875
highmodel,30.0,0.0,140.5277,-3.0472002084798433,0.0,0.7813971760936893,00:51,0,0.0,0.0,0.0,-1.91497802734375
highmodel,30.0,0.0,138.80031,12.186716816694926,0.0,0.7017628676266291,00:54,0,0.0,0.0,0.0,-1.727386474609375
highmodel,30.0,0.0,137.56685,14.128081626805326,0.0,0.6216879487187137,00:57,0,0.0,0.0,0.0,-1.23345947265625
highmodel,30.0,0.0,136.91408,14.065964104306808,0.0,0.5425234863209587,01:00,0,0.0,0.0,0.0,-0.65277099609375
highmodel,30.0,0.0,136.59908,14.031373372363362,0.0,0.4655534062146597,01:03,0,0.0,0.0,0.0,-0.31500244140625
