timestep,reward
1,-61.704834
2,-90.86941
3,-112.159004
4,-136.47565
5,-160.03667
6,-189.2128
7,4.7404337
8,3.9261913
9,3.0335574
10,-2.8667605
11,1.4110336
12,1.0640672
13,1.2808045
14,2.2018628
15,-1.2641754
16,-202.13332
17,-146.49243
18,-105.71716
19,-100.25225
20,-115.18764
21,-148.5991
22,-190.62334
23,4.3715687
24,-0.94352674
25,-0.42889193
26,-185.22816
27,-140.48534
28,-84.052055
29,-43.465633
30,-6.7460117
31,26.581665
32,42.12868
33,54.988262
34,64.7334
35,60.75065
36,48.519726
37,30.378996
38,10.252271
39,-7.289155
40,-19.689436
41,-28.57206
42,-37.45104
43,-50.709557
44,-73.96289
45,-115.29639
46,-187.4228
47,-16.09418
48,-26.841541
49,-43.813194
50,-51.011387
51,-50.636536
52,-41.5
53,-46.5
54,-41.5
55,-41.5
56,-41.462143
57,-41.44509
58,-46.541576
59,-41.5
60,-41.5
61,-41.5
62,-41.5
63,-41.5
64,-41.5
65,-41.5
66,-41.5
67,-46.5
68,-41.5
69,-41.5
70,-41.5
71,-41.5
72,-46.5
73,-41.5
74,-41.5
75,-46.5
76,-41.5
77,-41.5
78,-41.5
79,-41.5
80,-41.5
81,-41.5
82,-46.5
83,-46.5
84,-41.5
85,-41.5
86,-41.5
87,-41.5
88,-41.5
89,-41.5
90,-41.5
91,-46.5
92,-41.5
93,-41.5
94,-41.5
95,-41.5
96,-41.5
97,-41.5
98,-41.5
99,-46.5
100,-41.5
101,-41.5
102,-41.5
103,-46.5
104,-41.5
105,-41.5
106,-41.5
107,-41.5
108,-41.5
109,-41.5
110,-41.5
111,-41.5
112,-41.5
113,-41.5
114,-46.5
115,-46.5
116,-66.704834
117,-85.86941
118,-112.16011
119,-136.48767
120,-160.09868
121,-184.42242
122,4.723849
123,-1.1098243
124,2.9608319
125,1.9955188
126,1.1683927
127,0.66618234
128,0.6692001
129,1.3128555
130,2.5020008
131,-1.1547045
132,4.9537425
133,-196.96815
134,-202.7697
135,3.5718162
136,1.4832729
137,-0.79817826
138,-7.8165975
139,-9.164715
140,-4.701254
141,-4.6337514
142,-4.1762443
143,-3.5164843
144,-2.8209345
145,-2.1620657
146,-1.4908156
147,-0.7585259
148,0.07503643
149,1.0386329
150,2.104905
151,3.1734104
152,4.141367
153,4.9087095
154,-193.8825
155,-184.69618
156,-179.6469
157,-172.3327
158,-156.78757
159,-128.18797
160,-84.391945
161,-33.313
162,23.853897
163,58.52604
164,41.42312
165,-0.7285875
166,-35.879635
167,-67.76622
168,-74.870735
169,-80.91825
170,-71.73885
171,-68.45939
172,-72.02262
173,-89.03386
174,-127.81126
175,-194.32195
176,-8.316753
177,-15.462312
178,-15.436817
179,-16.840061
180,-14.812123
181,-11.267113
182,-12.64532
183,-4.986282
184,-4.166718
185,-5.3449893
186,-7.6945214
187,-10.426038
188,-12.752127
189,-18.951963
190,-13.924954
191,-13.355573
192,-12.812732
193,-12.765904
194,-13.625291
195,-20.487543
196,-18.040962
197,-21.016167
198,-24.163298
199,-27.237883
200,-30.122038
201,-37.874584
202,-40.53002
203,-38.10504
204,-40.616287
205,-42.744057
206,-42.964893
207,-41.5
208,-41.5
209,-41.5
210,-41.5
211,-46.5
212,-46.5
213,-46.5
214,-46.5
215,-41.5
216,-41.5
217,-41.5
218,-41.5
219,-41.5
220,-41.5
221,-41.5
222,-46.5
223,-41.5
224,-41.5
225,-41.5
226,-46.5
227,-41.5
228,-46.5
229,-46.5
230,-41.5
231,-41.5
232,-46.5
233,-41.5
234,-41.5
235,-41.5
236,-41.5
237,-41.5
238,-41.5
239,-41.5
240,-41.5
241,-46.5
242,-46.5
243,-41.5
244,-46.5
245,-41.5
246,-41.5
247,-41.5
248,-46.5
249,-41.5
250,-41.5
251,-41.5
252,-41.5
253,-41.5
254,-41.5
255,-41.5
256,-46.5
257,-46.5
258,-41.5
259,-41.5
260,-41.5
261,-41.5
262,-41.5
263,-41.5
264,-46.5
265,-41.5
266,-46.5
267,-41.5
268,-41.5
269,-41.5
270,-46.5
271,-46.5
272,-46.5
273,-41.5
274,-41.5
275,-41.5
276,-46.5
277,-41.5
278,-46.5
279,-46.5
280,-41.5
281,-41.5
282,-66.704834
283,-85.86941
284,-112.16011
285,-136.4872
286,-165.09465
287,-189.39883
288,4.727086
289,-1.0984215
290,2.9937108
291,2.0738776
292,1.3278816
293,0.95303
294,-3.8623133
295,2.021907
296,3.5130844
297,5.2242227
298,-152.09756
299,-117.54834
300,-109.2849
