timestep,reward
1,33.247757
2,46.59831
3,54.523727
4,54.848743
5,54.57545
6,53.56476
7,51.543385
8,49.01538
9,47.248135
10,47.18505
11,48.50682
12,50.416397
13,52.199593
14,53.45825
15,54.172615
16,54.522564
17,54.65289
18,54.63395
19,54.46708
20,54.15208
21,53.82642
22,53.76041
23,54.18217
24,54.892757
25,54.86096
26,52.64788
27,47.355858
28,39.107285
29,29.051743
30,18.275557
31,6.288218
32,-8.563787
33,-28.908558
34,-58.366756
35,-100.09421
36,-154.36977
37,-219.19206
38,-290.4263
39,-362.2027
40,-429.75214
41,-0.9561304
42,-6.3878655
43,-11.327461
44,-16.014584
45,-20.688324
46,-25.59246
47,-45.98265
48,-37.13698
49,-55.063644
50,-37.61234
51,-40.973186
52,-60.762352
53,-51.432556
54,-57.338066
55,-59.919975
56,-72.1564
57,-57.0
58,-57.0
59,-57.0
60,-57.0
61,-54.766712
62,-48.94873
63,-46.09586
64,-47.192204
65,-51.436195
66,-57.214394
67,-59.69556
68,-72.0
69,-57.0
70,-57.0
71,-57.0
72,-57.0
73,-57.0
74,-57.0
75,-57.0
76,-57.0
77,-57.0
78,-57.0
79,-57.0
80,-57.0
81,-57.0
82,-57.0
83,-72.0
84,-57.0
85,-57.0
86,-57.0
87,-57.0
88,-57.0
89,-57.0
90,-57.0
91,-72.0
92,-57.0
93,-72.0
94,-72.0
95,-57.0
96,-57.0
97,-57.0
98,-57.0
99,-72.0
100,-72.0
101,-57.0
102,-57.0
103,-72.0
104,-72.0
105,-72.0
106,-57.0
107,-57.0
108,-57.0
109,-57.0
110,-57.0
111,-57.0
112,-57.0
113,-57.0
114,-57.0
115,-57.0
116,-72.0
117,-72.0
118,-72.0
119,-72.0
120,-57.0
121,-72.0
122,-57.0
123,-72.0
124,-72.0
125,-57.0
126,-57.0
127,-57.0
128,-57.0
129,-72.0
130,-72.0
131,-57.0
132,-57.0
133,-57.0
134,-57.0
135,-57.0
136,-57.0
137,-57.0
138,-57.0
139,-57.0
140,-57.0
141,-57.0
142,-72.0
143,-72.0
144,-72.0
145,28.247755
146,46.59842
147,54.524086
148,54.849545
149,54.578407
150,53.575817
151,51.57623
152,49.09745
153,47.423344
154,47.500492
155,48.99013
156,51.055126
157,52.935368
158,54.203907
159,54.839363
160,55.031303
161,54.960915
162,54.775677
163,54.582863
164,54.39696
165,54.075474
166,53.288765
167,51.30723
168,46.64195
169,37.12852
170,21.037325
171,-2.183049
172,-31.472906
173,-64.26987
174,-98.54243
175,-135.30553
176,-177.41017
177,-229.0343
178,-295.39896
179,-379.93073
180,-20.57317
181,-31.429865
182,-21.623245
183,-45.43644
184,-52.54344
185,-58.238674
186,-47.862854
187,-51.732086
188,-55.167007
189,-72.961914
190,-73.43827
191,-57.0
192,-72.0
193,-72.0
194,-57.0
195,-72.0
196,-72.0
197,-57.0
198,-57.0
199,-72.0
200,-57.0
201,-57.0
202,-72.0
203,-57.0
204,-57.0
205,-72.0
206,-57.0
207,-72.0
208,-57.0
209,-57.0
210,-57.0
211,-72.0
212,-57.0
213,-72.0
214,-72.0
215,-72.0
216,-57.0
217,-57.0
218,-72.0
219,-72.0
220,-57.0
221,-57.0
222,-72.0
223,-57.0
224,-72.0
225,-57.0
226,-57.0
227,-57.0
228,-72.0
229,-57.0
230,-72.0
231,-72.0
232,-72.0
233,-72.0
234,-57.0
235,-57.0
236,-57.0
237,-72.0
238,-57.0
239,-57.0
240,-72.0
241,-72.0
242,-57.0
243,-57.0
244,28.247755
245,46.59831
246,54.523655
247,54.848328
248,54.57258
249,53.548313
250,51.481388
251,48.84833
252,46.89985
253,46.590076
254,47.631893
255,49.276707
256,50.852093
257,51.954155
258,52.496838
259,52.566505
260,52.175465
261,51.21123
262,49.459568
263,46.813457
264,43.637268
265,40.771717
266,39.37068
267,40.436665
268,43.864204
269,48.21698
270,52.01034
271,54.339943
272,55.073284
273,54.614357
274,53.112106
275,49.98557
276,43.719463
277,31.534481
278,9.887332
279,-23.562828
280,-74.11819
281,-129.62088
282,-185.59961
283,-247.58617
284,-308.91693
285,-369.34253
286,-429.3108
287,-0.68098706
288,-6.680699
289,-12.826381
290,-19.361988
291,-26.555532
292,-45.70769
293,-29.603823
294,-33.57191
295,-38.973404
296,-60.234364
297,-51.70172
298,-57.642284
299,-74.89054
300,-72.16754
301,-57.0
302,-72.0
303,-70.9848
304,-51.44247
305,-60.57551
306,-58.61776
307,-59.686924
308,-48.905663
