timestep,reward
1,-251.63931
2,-188.0074
3,-148.56642
4,-121.72286
5,-103.07373
6,-89.50138
7,-78.60163
8,-68.39292
9,-57.279266
10,-44.39615
11,-29.774292
12,-13.807428
13,2.8669775
14,19.247776
15,33.69869
16,44.49116
17,51.049274
18,54.035316
19,54.886993
20,54.991077
21,54.977192
22,54.969902
23,55.011684
24,54.832985
25,53.210583
26,47.94722
27,36.392223
28,15.859254
29,-15.94579
30,-65.09686
31,-120.315956
32,-177.87386
33,-241.83191
34,-299.9216
35,-346.6517
36,-381.07706
37,-404.32358
38,-418.41068
39,-425.91907
40,-429.7602
41,-433.02997
42,-438.90924
43,-10.540744
44,3.1983361
45,-13.795067
46,-1.7382667
47,-5.8946395
48,-26.613659
49,-16.762081
50,-33.002586
51,-19.654335
52,-35.805553
53,-36.595016
54,-37.156612
55,-22.615732
56,-23.088278
57,-38.682133
58,-24.501122
59,-25.643406
60,-42.02233
61,-27.287598
62,-26.0
63,-26.0
64,-26.0
65,-26.0
66,-26.0
67,-41.0
68,-41.0
69,-41.0
70,-26.0
71,-41.0
72,-26.0
73,-26.0
74,-26.0
75,-26.0
76,-41.0
77,-26.0
78,-41.0
79,-41.0
80,-41.0
81,-26.0
82,-26.0
83,-41.0
84,-26.0
85,-26.0
86,-41.0
87,-26.0
88,-26.0
89,-26.0
90,-41.0
91,-41.0
92,-41.0
93,-41.0
94,-41.0
95,-41.0
96,-41.0
97,-41.0
98,-26.0
99,-26.0
100,-26.0
101,-41.0
102,-26.0
103,-26.0
104,-26.0
105,-26.0
106,-26.0
107,-26.0
108,-41.0
109,-41.0
110,-41.0
111,-26.0
112,-41.0
113,-41.0
114,-26.0
115,-26.0
116,-41.0
117,-41.0
118,-26.0
119,-41.0
120,-26.0
121,-26.0
122,-26.0
123,-26.0
124,-41.0
125,-26.0
126,-41.0
127,-26.0
128,-26.0
129,-26.0
130,-41.0
131,-25.77346
132,-24.684847
133,-23.539503
134,-39.151047
135,-25.58362
136,-26.89673
137,-26.654345
138,-41.0
139,-26.0
140,-41.0
141,-41.0
142,-26.0
143,-26.0
144,-26.0
145,-26.0
146,-26.0
147,-26.0
148,-26.0
149,-26.0
150,-26.0
151,-26.0
