timestep,reward
1,-24.72382
2,-6.8367558
3,3.7434566
4,13.443842
5,23.255554
6,33.762455
7,44.41028
8,52.817158
9,54.86422
10,40.63097
11,15.463597
12,-28.817202
13,-93.12518
14,-176.34709
15,-276.12363
16,-389.68073
17,-20.88432
18,-27.596413
19,-34.257275
20,-40.94512
21,-47.6694
22,-46.315086
23,-42.984623
24,-41.0
25,-41.0
26,-41.0
27,-41.0
28,-41.0
29,-41.0
30,-41.0
31,-41.0
32,-41.0
33,-41.0
34,-29.723936
35,-6.842091
36,3.6875808
37,13.147484
38,22.257715
39,31.435585
40,40.603786
41,48.893948
42,54.388737
43,54.045822
44,38.803776
45,14.3538885
46,-27.610647
47,-88.63546
48,-168.45865
49,-265.50333
50,-377.69812
51,-20.316412
52,-27.25794
53,-34.17245
54,-41.027027
55,-47.810413
56,-46.36706
57,-42.91376
58,-41.0
59,-41.0
60,-41.0
61,-41.0
62,-41.0
63,-41.0
64,-41.0
65,-41.0
66,-41.0
67,-41.0
68,-41.0
69,-29.723936
70,-6.840237
71,3.7163782
72,13.336898
73,22.955376
74,33.109028
75,43.378788
76,51.85547
77,55.184414
78,44.28467
79,25.138363
80,-10.305009
81,-63.426895
82,-133.98047
83,-220.56802
84,-321.22928
85,-434.08548
86,-23.00097
87,-29.502726
88,-35.999886
89,-42.459553
90,-48.865692
91,-46.403645
92,-41.878246
93,-41.0
94,-41.0
95,-41.0
96,-41.0
97,-41.0
98,-41.0
99,-41.0
100,-41.0
101,-26.0
102,-26.0
103,-41.0
104,-41.0
105,-29.723703
106,-6.831412
107,3.801674
108,13.7469845
109,24.225882
110,35.887375
111,47.54132
112,54.880127
113,45.939423
114,23.81478
115,-20.786074
116,-88.62021
117,-177.57562
118,-284.08884
119,-404.38046
120,-22.041681
121,-28.872675
122,-35.586212
123,-42.36461
124,-49.378254
125,-46.961143
126,-41.435234
127,-41.0
128,-41.0
129,-41.0
130,-41.0
131,-41.0
132,-41.0
133,-41.0
134,-41.0
135,-29.723818
136,-6.8317413
137,3.7980125
138,13.73044
139,24.178009
140,35.78597
141,47.39564
142,54.81678
143,46.249443
144,24.85694
145,-18.736704
146,-85.44508
147,-173.29655
148,-278.81433
149,-398.2491
150,-21.683878
151,-28.513046
152,-35.219494
153,-41.98084
154,-48.961693
155,-46.839893
156,-41.811825
157,-41.0
158,-41.0
159,-41.0
160,-41.0
161,-41.0
162,-41.0
163,-41.0
164,-41.0
165,-29.723703
166,-6.8313007
167,3.8033655
168,13.759809
169,24.269068
170,35.96809
171,47.628468
172,54.906437
173,45.826622
174,23.496891
175,-21.34784
176,-89.42912
177,-178.60396
178,-285.2898
179,-405.698
180,-22.111332
181,-28.93532
182,-35.640568
183,-42.409046
184,-49.410248
185,-46.960136
186,-41.404617
187,-41.0
188,-41.0
189,-41.0
190,-41.0
191,-41.0
192,-41.0
193,-41.0
194,-41.0
195,-29.72382
196,-6.8331494
197,3.7859104
198,13.679736
199,24.045109
200,35.545017
201,47.111576
202,54.708378
203,46.647655
204,26.064821
205,-16.559877
206,-82.3064
207,-169.32425
208,-274.1965
209,-393.18655
210,-21.411552
211,-28.261028
212,-34.98684
213,-41.765335
214,-48.760406
215,-46.79954
216,-41.997128
217,-41.0
218,-41.0
219,-41.0
220,-41.0
221,-41.0
222,-41.0
223,-41.0
224,-41.0
225,-29.72382
226,-6.833262
227,3.7848237
228,13.676625
229,24.045856
230,35.572636
231,47.182938
232,54.752014
233,46.45343
234,25.3571
235,-17.999052
236,-84.57747
237,-172.4219
238,-278.05075
239,-397.70416
240,-21.678999
241,-28.531641
242,-35.26451
243,-42.05748
244,-49.078743
245,-46.894688
246,-41.71093
247,-41.0
248,-41.0
249,-41.0
250,-41.0
251,-41.0
252,-41.0
253,-41.0
254,-41.0
255,-29.723703
256,-6.8313007
257,3.803365
258,13.758022
259,24.254509
260,35.917152
261,47.53917
262,54.866035
263,46.045776
264,24.251198
265,-19.827215
266,-87.02553
267,-175.31639
268,-281.19678
269,-400.91626
270,-21.832945
271,-28.658419
272,-35.364094
273,-42.129482
274,-49.121685
275,-46.88639
276,-41.666584
277,-41.0
278,-41.0
279,-41.0
280,-41.0
281,-41.0
282,-41.0
283,-41.0
284,-41.0
285,-29.723703
286,-6.8313007
287,3.8033657
288,13.760521
289,24.274693
290,35.987648
291,47.66228
292,54.920776
293,45.74874
294,23.250996
295,-21.795383
296,-90.05466
297,-179.34067
298,-286.0514
299,-406.39688
300,-22.136023
301,-28.945599
302,-35.63486
303,-42.38506
304,-49.364204
305,-46.935017
306,-41.44321
307,-41.0
308,-41.0
309,-41.0
310,-41.0
311,-41.0
312,-41.0
313,-41.0
314,-41.0
315,-29.723703
316,-6.8313007
317,3.80287
318,13.755087
319,24.248148
320,35.914204
321,47.547134
322,54.872337
323,46.006912
324,24.103205
325,-20.14364
326,-87.54604
327,-176.04926
328,-282.12866
329,-402.02307
330,-21.898705
331,-28.724806
332,-35.431477
333,-42.198944
334,-49.195034
335,-46.906384
336,-41.600315
337,-41.0
338,-41.0
339,-41.0
340,-41.0
341,-41.0
