timestep,reward
1,-15.226389
2,-10.884167
3,-11.094524
4,-10.717432
5,-9.87569
6,-8.650422
7,-7.100651
8,-5.302823
9,-3.3625288
10,-1.3003418
11,-187.67842
12,-109.93819
13,-35.709026
14,22.329994
15,57.597485
16,45.25256
17,-0.65299344
18,-77.13351
19,-169.90057
20,-11.338769
21,-13.3513155
22,-19.958977
23,-26.958061
24,-35.12017
25,-49.67561
26,-51.178066
27,-48.787727
28,-46.5
29,-46.5
30,-46.5
31,-46.5
32,-46.5
33,-46.5
34,-20.226398
35,-10.884563
36,-11.098774
37,-10.738296
38,-9.935412
39,-8.764408
40,-7.2587976
41,-5.4705834
42,-3.5058947
43,-1.4053849
44,-190.3846
45,-111.30658
46,-36.28167
47,22.157705
48,52.579906
49,45.25616
50,-0.6941105
51,-77.24966
52,-170.10925
53,-11.366704
54,-13.388098
55,-20.007998
56,-27.024462
57,-35.212337
58,-49.80763
59,-51.252964
60,-48.699776
61,-46.5
62,-46.5
63,-46.5
64,-46.5
65,-46.5
66,-46.5
67,-20.226418
68,-10.885695
69,-11.108954
70,-10.781123
71,-10.050928
72,-9.005225
73,-7.6844325
74,-6.1264915
75,-4.392445
76,-2.4698985
77,-0.2302798
78,-147.48079
79,-63.008656
80,6.52744
81,48.0861
82,50.405357
83,11.688933
84,-60.368134
85,-151.35974
86,-9.910264
87,-12.266806
88,-19.203018
89,-26.522997
90,-35.013546
91,-49.931416
92,-51.468685
93,-48.61269
94,-46.5
95,-46.5
96,-46.5
97,-46.5
98,-46.5
99,-46.5
100,-20.226398
101,-5.884747
102,-6.1012573
103,-10.756253
104,-10.018868
105,-9.033959
106,-7.90458
107,-6.688515
108,-5.4009347
109,-3.9300177
110,-2.0428312
111,0.3666939
112,-119.724014
113,-31.560307
114,31.60619
115,54.561535
116,32.759846
117,-27.513575
118,-112.1889
119,-207.02762
120,-14.542435
121,-17.164204
122,-25.185925
123,-39.433495
124,-50.238586
125,-52.07235
126,-48.367397
127,-46.5
128,-46.5
129,-46.5
130,-46.5
131,-46.5
132,-20.22638
133,-10.883624
134,-11.088202
135,-10.680599
136,-9.738101
137,-8.278161
138,-6.313014
139,-3.9316144
140,-6.329276
141,-182.97493
142,-95.86657
143,-25.46981
144,25.635136
145,52.455494
146,46.77603
147,3.0668259
148,-76.30198
149,-181.43964
150,-14.215431
151,-22.225428
152,-24.231089
153,-31.105366
154,-38.755535
155,-47.979607
156,-52.454456
157,-46.5
158,-46.5
159,-46.5
160,-46.5
161,-46.5
162,-20.226377
163,-10.883306
164,-11.085447
165,-10.66987
166,-9.713058
167,-8.237216
168,-6.26195
169,-3.8802662
170,-6.2852726
171,-181.72356
172,-95.12777
173,-25.082306
174,25.80234
175,52.48894
176,46.72692
