timestep,reward
1,-85.977585
2,-85.39747
3,-84.0337
4,-76.65132
5,-62.89962
6,-42.31233
7,-15.310309
8,15.166424
9,37.240135
10,50.30537
11,38.60058
12,-3.621677
13,-74.02645
14,-162.62044
15,-257.4896
16,-352.29974
17,-440.90656
18,-20.849022
19,-30.38912
20,-40.43643
21,-50.72823
22,-60.957615
23,-70.838974
24,-76.0961
25,-72.98026
26,-72.0
27,-72.0
28,-72.0
29,-72.0
30,-72.0
31,-72.0
32,-72.0
33,-72.0
34,-90.97774
35,-85.407135
36,-84.129845
37,-77.11368
38,-64.317505
39,-45.42932
40,-20.424143
41,8.950412
42,32.195366
43,49.258213
44,43.546204
45,7.6899214
46,-57.40484
47,-142.49257
48,-235.69156
49,-330.22733
50,-424.4558
51,-18.929787
52,-28.729425
53,-38.994225
54,-49.465523
55,-59.83638
56,-69.819466
57,-75.69825
58,-73.50721
59,-72.0
60,-72.0
61,-72.0
62,-72.0
63,-72.0
64,-72.0
65,-72.0
66,-72.0
67,-90.97726
68,-85.38276
69,-83.91012
70,-76.22159
71,-62.18175
72,-42.06544
73,-17.021524
74,10.44741
75,30.914383
76,47.656075
77,48.082905
78,26.72982
79,-17.176012
80,-78.586266
81,-149.73103
82,-225.95192
83,-306.0442
84,-386.90042
85,-15.703894
86,-31.35662
87,-42.22344
88,-47.9491
89,-58.20895
90,-67.66406
91,-74.40662
92,-74.702
93,-72.0
94,-72.0
95,-72.0
96,-72.0
97,-72.0
98,-72.0
99,-72.0
100,-72.0
101,-57.0
102,-90.97774
103,-85.41269
104,-84.17034
105,-77.20803
106,-64.26895
107,-44.728313
108,-18.73637
109,11.076647
110,33.50381
111,49.32629
112,44.53221
113,14.434299
114,-39.12911
115,-108.10366
116,-182.82278
117,-258.3058
118,-328.8667
119,-407.1511
120,-1.5178884
121,-10.921615
122,-35.522274
123,-29.955757
124,-53.876728
125,-61.921093
126,-68.7101
127,-58.56574
128,-74.37693
129,-72.0
130,-72.0
131,-57.0
132,-56.602367
133,-55.509327
134,-71.02219
135,-72.8431
136,-57.0
137,-57.0
138,-57.0
139,-57.0
140,-57.0
141,-72.0
142,-57.0
143,-72.0
144,-57.0
145,-57.0
146,-90.97774
147,-85.41351
148,-84.213524
149,-77.658936
150,-66.54677
151,-51.939156
152,-35.040173
153,-17.090359
154,0.6466302
155,16.680544
156,29.543844
157,38.599735
158,43.998253
159,46.32162
160,46.376385
161,45.1206
162,43.479828
163,42.60148
164,43.64289
165,46.77007
166,50.725914
167,53.941074
168,55.10471
169,53.419945
170,48.750256
171,41.657505
172,33.356907
173,25.571678
174,20.060503
175,17.143599
176,14.734214
177,9.879902
178,-1.1704979
179,-23.75976
180,-63.109634
181,-124.39421
182,-192.10757
183,-254.82506
184,-307.31174
185,-334.62262
186,-339.49872
187,-329.42685
188,-312.69702
189,-297.33353
190,-290.8069
191,-300.56363
192,-335.39786
193,-407.69836
194,-18.348839
195,-11.59329
196,-19.274952
197,-41.05559
198,-46.82416
199,-51.471058
200,-39.894363
201,-57.007595
202,-42.745937
203,-42.069027
204,-55.047634
205,-37.246696
206,-49.739616
207,-33.392143
208,-34.03362
209,-37.44848
210,-58.64526
211,-66.46294
212,-58.555534
213,-75.00219
214,-57.0
215,-57.0
216,-72.0
217,-72.0
218,-57.0
219,-72.0
220,-72.0
221,-72.0
222,-57.0
223,-72.0
224,-72.0
225,-72.0
226,-57.0
227,-57.0
228,-57.0
229,-57.0
230,-57.0
231,-72.0
232,-57.0
233,-57.0
234,-57.0
235,-90.97774
236,-85.413666
237,-84.21596
238,-77.68261
239,-66.65715
240,-52.269646
241,-35.78242
242,-18.463955
243,-1.565542
244,13.477623
245,25.270533
246,33.1891
247,37.192356
248,37.304214
249,33.522427
250,26.273745
251,16.456034
252,5.9203963
253,-2.6069932
254,-7.1318016
255,-7.8560934
256,-5.808742
257,-2.1677246
258,1.9294766
259,5.501938
260,7.749211
261,7.9480567
262,5.2874403
263,-1.0963981
264,-10.874613
265,-21.006866
266,-26.969736
267,-23.93608
268,-9.090293
269,14.055803
270,36.297745
271,50.61286
272,55.19318
273,53.23906
274,49.834885
275,47.646004
276,46.857147
277,46.642307
278,45.907543
279,43.30945
280,36.538734
281,20.849804
282,-18.18627
283,-74.74029
284,-137.31104
285,-206.9802
286,-275.40463
287,-349.14774
288,-419.73645
289,-0.15661007
290,-5.1365743
291,-8.643793
292,-25.594025
293,-10.9939575
294,-10.283209
295,-24.435966
296,-9.380585
297,-11.015003
298,-30.15551
299,-36.88381
300,-45.168205
301,-38.856388
302,-61.714436
303,-52.544918
304,-56.177128
305,-58.266037
306,-73.15429
307,-72.0
308,-57.0
309,-72.0
310,-57.0
311,-72.0
312,-72.0
313,-57.0
314,-72.0
315,-57.0
316,-72.0
317,-57.0
318,-57.0
319,-57.0
320,-72.0
321,-57.0
322,-57.0
323,-72.0
324,-57.0
325,-57.0
326,-57.0
327,-57.0
328,-57.0
329,-57.0
330,-57.0
331,-57.0
332,-57.0
333,-72.0
334,-57.0
335,-90.97774
336,-85.41187
337,-84.19855
338,-77.60007
339,-66.40258
340,-51.677147
341,-34.64518
342,-16.570524
343,1.2440492
344,17.26077
345,29.99891
346,38.858967
347,44.04376
348,46.150314
349,45.946194
350,44.350475
351,42.306644
352,41.060627
353,41.926243
354,45.184483
355,49.55906
356,53.360214
357,55.099304
358,53.802063
359,49.212643
360,41.859062
361,33.00891
362,24.514025
363,18.311035
364,14.873585
365,12.160171
366,7.1943355
367,-3.7836502
368,-26.008303
369,-64.39218
370,-123.71306
371,-188.23389
372,-246.59503
373,-293.97815
374,-316.0623
375,-316.07117
376,-301.76004
377,-281.47427
378,-263.06882
379,-253.63666
380,-260.08377
381,-290.56186
382,-356.77597
383,-12.460265
384,-5.6175294
385,-13.244466
386,-35.024284
387,-25.841524
388,-45.58248
389,-49.140476
390,-36.422043
391,-37.35298
392,-51.881916
393,-35.063538
394,-32.431168
395,-30.02976
396,-28.7325
397,-29.37785
398,-47.75017
399,-38.868244
400,-61.598286
401,-54.751698
402,-74.84916
403,-73.52433
404,-57.0
405,-72.0
406,-57.0
407,-57.0
408,-57.0
409,-72.0
410,-57.0
411,-57.0
412,-72.0
413,-57.0
414,-72.0
415,-57.0
416,-72.0
417,-72.0
418,-72.0
419,-72.0
420,-57.0
421,-57.0
422,-57.0
423,-72.0
424,-57.0
425,-57.0
426,-72.0
427,-72.0
428,-57.0
429,-90.97774
430,-85.40877
431,-84.16877
432,-77.457115
433,-65.96282
434,-50.658817
435,-32.716072
436,-13.433538
437,5.744088
438,23.039341
439,36.711792
440,46.007126
441,51.254734
442,53.58305
443,54.3996
444,54.70261
445,54.896446
446,55.03094
447,54.63735
448,52.409084
449,46.643593
450,35.96218
451,19.72292
452,-1.735472
453,-27.034483
454,-53.85537
455,-79.11499
456,-99.27357
457,-111.22282
458,-115.08857
459,-115.7905
460,-119.45347
461,-132.57806
462,-162.2336
463,-212.59474
464,-279.7982
465,-354.64328
466,-423.19098
467,-13.350647
468,-14.1062565
469,-12.445653
470,5.549603
471,-412.6033
472,-383.6071
473,-366.24722
474,-368.2102
475,-398.31015
476,-13.794559
477,-9.085775
478,-16.815586
479,-39.11149
480,-30.589426
481,-36.12526
482,-40.596085
483,-58.886333
484,-45.895836
485,-61.548096
486,-45.795746
487,-43.710953
488,-55.877525
489,-53.39049
490,-52.110603
491,-37.861237
492,-56.42865
493,-47.814037
494,-70.831474
495,-60.511185
496,-57.704746
497,-57.0
498,-57.0
499,-57.0
500,-57.0
