timestep,reward
1,49.55924
2,54.013905
3,52.65335
4,49.85569
5,45.472794
6,40.31706
7,36.380035
8,36.27388
9,41.55256
10,50.10913
11,55.227737
12,42.897488
13,15.099678
14,-37.066593
15,-113.08397
16,-210.90773
17,-328.3906
18,-18.48615
19,-26.546612
20,-34.67792
21,-42.553364
22,-49.760025
23,-46.91774
24,-41.526985
25,-41.0
26,-41.0
27,-26.0
28,-41.0
29,-41.0
30,-41.0
31,-41.0
32,-41.0
33,-41.0
34,-41.0
35,44.559258
36,54.015095
37,52.671394
38,49.984512
39,46.024918
40,41.959167
41,40.039513
42,42.49228
43,49.143906
44,54.941616
45,45.745613
46,22.48462
47,-25.240795
48,-97.49558
49,-190.66058
50,-301.24637
51,-426.83914
52,-23.764345
53,-31.303238
54,-38.922962
55,-46.283028
56,-46.13855
57,-44.429386
58,-41.0
59,-41.0
60,-41.0
61,-41.0
62,-41.0
63,-41.0
64,-26.0
65,-41.0
66,-41.0
67,-41.0
68,-41.0
69,-41.0
70,44.55926
71,54.01576
72,52.683678
73,50.09335
74,46.58459
75,43.826935
76,44.317844
77,49.111626
78,54.669815
79,46.742134
80,24.215014
81,-25.395844
82,-103.45193
83,-205.54807
84,-324.87845
85,-18.020226
86,-25.376583
87,-32.600346
88,-24.948034
89,-47.4899
90,-46.70897
91,-43.267704
92,-41.0
93,-26.0
94,-41.0
95,-41.0
96,-41.0
97,-41.0
98,-41.0
99,-41.0
100,-41.0
101,-41.0
102,44.55928
103,54.01659
104,52.697002
105,50.195793
106,47.043217
107,45.149143
108,46.843304
109,52.02279
110,55.134895
111,40.331985
112,6.6125317
113,-56.97103
114,-149.82112
115,-265.8946
116,-397.52075
117,-22.515713
118,-29.92729
119,-37.274746
120,-44.885822
121,-51.08492
122,-45.396004
123,-41.0
124,-41.0
125,-41.0
126,-41.0
127,-41.0
128,-41.0
129,-41.0
130,-41.0
131,-41.0
132,44.55928
133,54.01659
134,52.697163
135,50.19831
136,47.06005
137,45.207825
138,46.959057
139,52.140316
140,55.108486
141,39.9789
142,5.7895985
143,-58.33178
144,-151.7166
145,-268.27258
146,-400.31293
147,-22.680435
148,-30.094612
149,-37.44922
150,-45.07547
151,-51.158745
152,-45.237213
153,-41.0
154,-41.0
155,-41.0
156,-41.0
157,-41.0
158,-41.0
159,-41.0
160,-41.0
161,-41.0
162,44.55928
163,54.01659
164,52.69724
165,50.199375
166,47.067375
167,45.239132
168,47.04093
169,52.24813
170,55.073746
171,39.495888
172,4.5516615
173,-60.51321
174,-154.88144
175,-272.341
176,-405.14407
177,-22.964712
178,-30.379204
179,-37.737793
180,-45.37596
181,-51.266285
182,-44.985325
183,-41.0
184,-41.0
185,-41.0
186,-41.0
187,-41.0
188,-41.0
189,-41.0
190,-41.0
191,-41.0
192,44.559277
193,54.01644
194,52.69495
195,50.18241
196,46.995895
197,45.047657
198,46.705112
199,51.91549
200,55.152462
201,40.558647
202,7.096791
203,-56.21803
204,-148.81587
205,-264.67172
206,-396.12186
207,-22.435978
208,-29.84904
209,-37.19655
210,-44.805412
211,-51.05615
212,-45.46312
213,-41.0
214,-41.0
215,-41.0
216,-41.0
217,-41.0
218,-41.0
219,-41.0
220,-41.0
221,-41.0
222,44.559277
223,54.016308
224,52.692425
225,50.160385
226,46.88477
227,44.699493
228,46.019005
229,51.16432
230,55.20242
231,42.60702
232,12.098496
233,-47.88681
234,-137.35184
235,-250.66101
236,-380.30078
237,-21.560402
238,-29.031298
239,-36.43185
240,-44.082027
241,-50.826904
242,-46.06458
243,-41.0
244,-41.0
245,-41.0
246,-41.0
247,-41.0
248,-41.0
249,-41.0
250,-41.0
251,-41.0
252,44.559273
253,54.016167
254,52.69101
255,50.15668
256,46.89964
257,44.815746
258,46.337063
259,51.58012
260,55.193195
261,41.359665
262,8.914828
263,-53.32534
264,-144.97021
265,-260.1089
266,-391.11417
267,-22.171091
268,-29.611197
269,-36.98506
270,-44.618484
271,-51.005943
272,-45.620087
273,-41.0
274,-41.0
275,-41.0
276,-41.0
277,-41.0
278,-41.0
279,-41.0
280,-41.0
281,-41.0
282,44.559273
283,54.015926
284,52.687202
285,50.12893
286,46.78346
287,44.50466
288,45.79007
