timestep,reward
1,44.775467
2,40.434647
3,30.776756
4,22.757067
5,18.223722
6,19.045677
7,26.230207
8,38.39748
9,50.658592
10,50.088898
11,38.095055
12,3.305907
13,-56.757057
14,-140.64577
15,-244.4219
16,-363.67914
17,-22.004274
18,-35.26987
19,-47.90887
20,-60.11082
21,-72.116394
22,-75.57302
23,-74.64713
24,-72.0
25,-72.0
26,-72.0
27,-72.0
28,-72.0
29,-72.0
30,-72.0
31,-72.0
32,-72.0
33,-72.0
34,-72.0
35,39.775356
36,40.424988
37,30.645887
38,21.98109
39,15.46932
40,12.22482
41,13.544685
42,20.419867
43,32.37822
44,46.053604
45,49.821754
46,45.41332
47,20.658442
48,-28.221388
49,-101.2425
50,-196.06116
51,-309.24207
52,-437.2583
53,-30.14143
54,-43.661316
55,-56.848778
56,-69.94885
57,-75.0934
58,-75.58017
59,-72.0
60,-72.0
61,-72.0
62,-72.0
63,-72.0
64,-72.0
65,-72.0
66,-72.0
67,-72.0
68,-72.0
69,-72.0
70,39.775467
71,40.43433
72,30.76838
73,22.682539
74,17.882053
75,18.07752
76,24.36142
77,35.88946
78,48.623432
79,50.259655
80,42.063072
81,11.795496
82,-44.07805
83,-124.889435
84,-227.06476
85,-346.22784
86,-20.408194
87,-34.086765
88,-47.146847
89,-59.782734
90,-72.249756
91,-75.85054
92,-74.53894
93,-72.0
94,-72.0
95,-72.0
96,-72.0
97,-72.0
98,-72.0
99,-72.0
100,-72.0
101,-72.0
102,-72.0
103,39.77534
104,40.42346
105,30.620089
106,21.780027
107,14.515017
108,9.055797
109,5.5009427
110,3.9152563
111,4.321802
112,6.591019
113,10.389556
114,15.343262
115,21.090137
116,27.298971
117,33.762512
118,40.34204
119,46.64499
120,51.90288
121,54.910934
122,53.993885
123,47.04026
124,31.57315
125,4.817143
126,-41.06609
127,-97.578384
128,-167.51382
129,-244.95934
130,-315.90356
131,-380.13516
132,-428.0437
133,-12.880611
134,-1.662449
135,-21.840563
136,-14.547345
137,-39.932964
138,-41.584213
139,-67.803894
140,-56.682808
141,-75.191826
142,-58.066715
143,-72.0
144,-71.482544
145,-54.322056
146,-51.94917
147,-67.34761
148,-55.646774
149,-58.825054
150,-57.231094
151,-72.0
152,-57.0
153,-72.0
154,-57.0
155,-57.0
156,-57.0
157,-72.0
158,-72.0
159,-57.0
160,-57.0
161,-57.0
162,-72.0
163,-72.0
164,-57.0
165,-57.0
166,-72.0
167,-57.0
168,-72.0
169,-57.0
170,-57.0
171,-72.0
172,-57.0
173,-57.0
174,-57.0
175,-72.0
176,-72.0
177,-72.0
178,-72.0
179,-72.0
180,-72.0
181,-57.0
182,-72.0
183,-72.0
184,-72.0
185,-57.0
186,39.77534
187,40.42293
188,30.613743
189,21.748287
190,14.4169
191,8.824383
192,5.028006
193,3.0329735
194,2.7971609
195,4.1369596
196,6.678514
197,10.011433
198,13.748752
199,17.582619
200,21.445694
201,25.54395
202,30.068365
203,35.091923
204,40.519928
205,46.0173
206,50.950756
207,54.35671
208,54.878162
209,50.72738
210,40.124043
211,22.643373
212,-0.0742132
213,-24.392088
214,-45.59785
215,-61.4104
216,-74.98757
217,-91.87039
218,-119.0801
219,-165.36757
220,-242.38147
221,-338.0357
222,-448.3245
223,-12.700916
224,-30.31558
225,-19.309551
226,-35.7784
227,-35.89453
228,-20.664064
229,-36.024918
230,-37.905834
231,-27.298698
232,-50.360638
233,-53.6306
234,-66.29493
235,-60.1963
