timestep,reward
1,-17.932402
2,-12.569341
3,-11.961759
4,-11.099306
5,-9.987767
6,-8.582196
7,-1.7925997
8,-4.516292
9,-6.690438
10,-175.78848
11,-64.400276
12,15.807328
13,52.748802
14,42.172653
15,-12.408364
16,-101.82713
17,-213.77516
18,-17.086733
19,-24.941002
20,-26.061533
21,-30.82564
22,-34.67698
23,-38.06846
24,-41.44338
25,-45.14697
26,-48.33902
27,-48.373596
28,-46.5
29,-46.5
30,-46.5
31,-46.5
32,-46.5
33,-46.5
34,-46.5
35,-46.5
36,-22.932362
37,-12.567509
38,-11.944449
39,-11.021474
40,-9.7666445
41,-8.119724
42,-6.015963
43,-8.411357
44,-5.304868
45,-124.998276
46,-25.344528
47,37.375137
48,53.94573
49,22.755323
50,-50.600986
51,-155.60599
52,-13.016004
53,-22.33101
54,-24.830921
55,-25.587706
56,-35.013584
57,-38.577698
58,-41.7502
59,-44.986206
60,-48.03814
61,-48.51029
62,-46.5
63,-46.5
64,-46.5
65,-46.5
66,-46.5
67,-46.5
68,-46.5
69,-46.5
70,-22.932402
71,-12.569469
72,-11.96271
73,-11.102269
74,-9.995431
75,-8.606776
76,-6.8646703
77,-4.6816497
78,-6.992188
79,-190.70064
80,-78.724556
81,6.1576695
82,50.15573
83,46.685894
84,-2.4220946
85,-88.728745
86,-194.94212
87,-16.209963
88,-24.388573
89,-25.814684
90,-30.860353
91,-29.971006
92,-38.606083
93,-42.218773
94,-46.165993
95,-48.817074
96,-47.687992
97,-46.5
98,-46.5
99,-46.5
100,-46.5
101,-46.5
102,-46.5
103,-41.5
104,-46.5
105,-22.932402
106,-12.569509
107,-11.963851
108,-11.113321
109,-5.051884
110,-3.7987432
111,-2.3637571
112,-5.754649
113,-3.9826071
114,2.9401033
115,0.0025425616
116,-141.66228
117,-74.37005
118,-18.576435
119,18.608656
120,50.99953
121,63.565617
122,62.660057
123,45.98248
124,31.789234
125,7.4366064
126,-20.961613
127,-53.440674
128,-91.08796
129,-140.55728
130,-193.53484
131,-5.2999344
132,-11.356116
133,-18.140982
134,-25.654182
135,-28.64296
136,-41.832893
137,-49.16941
138,-50.797874
139,-46.5
140,-46.5
141,-46.5
142,-41.5
143,-41.5
144,-41.5
145,-41.5
146,-46.5
147,-41.5
148,-46.5
149,-41.5
150,-46.5
151,-46.5
152,-46.5
153,-41.5
154,-41.5
155,-46.5
156,-46.5
157,-46.5
158,-41.5
159,-46.5
160,-46.5
161,-46.5
162,-46.5
163,-46.5
164,-41.5
165,-46.5
166,-17.93241
167,-7.5697145
168,-6.9663563
169,-11.128366
170,-5.1091557
171,-3.9587994
172,-2.7250037
173,-1.453917
174,-0.18966214
175,-3.969038
176,2.1806765
177,3.2338347
178,4.1680455
179,-0.034910094
180,-186.89093
181,-174.1779
182,-162.52338
183,-151.69206
184,-151.32913
185,-154.95361
186,-159.33676
187,-165.90295
188,-156.30113
189,-147.86156
190,-124.52087
191,-87.36344
192,-53.98926
193,-8.377455
194,23.924139
195,45.68741
196,59.55613
197,40.423294
198,6.266942
199,-56.730404
200,-140.34143
201,-9.910574
202,-13.860829
203,-27.46199
204,-35.710464
205,-38.49435
206,-40.518955
207,-49.842777
208,-48.690742
209,-41.5
210,-46.5
211,-46.5
