timestep,reward
1,42.2949
2,48.66242
3,50.03061
4,51.180725
5,51.985783
6,52.391964
7,52.343624
8,51.687546
9,50.10497
10,47.39144
11,44.13904
12,41.76399
13,42.05271
14,45.935772
15,51.557545
16,54.98036
17,53.84248
18,48.803352
19,43.077442
20,39.67215
21,38.64508
22,38.554047
23,37.703274
24,34.331226
25,26.740673
26,13.675928
27,-6.0247016
28,-33.241703
29,-68.19626
30,-109.9286
31,-155.80359
32,-201.71437
33,-242.43515
34,-272.75986
35,-291.55954
36,-304.53125
37,-319.5178
38,-345.10132
39,-390.39133
40,2.673545
41,-2.566479
42,-8.407392
43,-19.421894
44,-20.094053
45,-39.792965
46,-42.78257
47,-28.335379
48,-25.997152
49,-24.856173
50,-27.517885
51,-26.0
52,-26.0
53,-26.0
54,-41.0
55,-41.0
56,-41.0
57,-26.0
58,-26.0
59,-26.0
60,-41.0
61,-26.0
62,-26.0
63,-26.0
64,-41.0
65,-26.0
66,-26.0
67,-26.0
68,-26.0
69,-26.0
70,-24.205442
71,-20.413437
72,-20.027071
73,-21.515789
74,-25.461853
75,-28.90696
76,-27.108053
77,-26.0
78,-26.0
79,-26.0
80,-26.0
81,-26.0
82,-26.0
83,-26.0
84,-41.0
85,-26.0
86,-26.0
87,-26.0
88,-26.0
89,-26.0
90,-26.0
91,-41.0
92,-41.0
93,-41.0
94,-41.0
95,-26.0
96,-41.0
97,-26.0
98,37.2949
99,48.662014
100,50.02697
101,51.165497
102,51.9448
103,52.307384
104,52.19371
105,51.44659
106,49.756245
107,46.97554
108,43.816322
109,41.796776
110,42.66303
111,47.06046
112,52.658783
113,55.16106
114,52.181534
115,44.77814
116,36.91428
117,32.26039
118,30.98734
119,31.442787
120,31.649137
121,29.755344
122,24.4389
123,15.217353
124,1.7687501
125,-16.041368
126,-37.89585
127,-62.646584
128,-87.98382
129,-110.70143
130,-127.06179
131,-133.7668
132,-130.97794
133,-123.78799
134,-118.119446
135,-119.58182
136,-133.6012
137,-163.63853
138,-209.06319
139,-267.6054
140,-335.3724
141,-406.29147
142,2.2213182
143,0.047714747
144,-0.5422133
145,0.7799842
146,1.4155263
147,-1.1938711
148,-2.0025287
149,-2.405094
150,-17.455069
151,-2.203274
152,-1.697573
153,-0.9830261
154,-0.101959646
155,0.90592194
156,1.9967363
157,3.0935585
158,4.080464
159,4.850368
160,-444.34592
161,-440.08667
162,-442.2859
163,4.873513
164,5.005971
165,-434.21454
166,-408.7753
167,-371.36673
168,-332.93396
169,-304.36304
170,-295.04044
171,-313.54996
172,-363.5667
173,-438.77826
174,-1.0490197
175,-5.157823
176,-7.6564198
177,-23.40123
178,-8.303195
179,-8.111729
180,-8.385632
181,-9.571676
182,-11.697139
183,-14.2690115
184,-31.89561
185,-19.20359
186,-20.832745
187,-21.709875
188,-22.13179
189,-22.292555
190,-22.321672
191,-22.334797
192,-37.43669
193,-37.726307
194,-38.30328
195,-24.275642
196,-25.156052
197,-25.037973
198,-24.447832
199,-23.378197
200,-21.808842
201,-19.718937
202,-17.102283
203,-13.961151
204,-25.292322
205,-6.0767736
206,-1.3433841
207,-16.42119
208,-439.1367
209,-349.24722
210,-295.79108
211,-278.28607
212,-297.16345
213,-347.26978
214,-423.09055
215,-0.640345
216,-5.741433
217,-10.298405
218,-29.30622
219,-17.7536
220,-20.59184
221,-22.784214
222,-24.360512
223,-40.4347
224,-26.108288
225,-26.473782
226,-26.619194
227,-26.487055
228,-26.117077
229,-26.0
230,-26.0
231,-26.0
232,-26.0
233,-26.0
234,-26.0
235,-26.0
236,-26.0
237,-26.0
238,-26.0
239,-26.0
240,-26.0
241,-26.0
242,-41.0
243,-26.0
244,-26.0
245,-26.0
246,-26.0
247,-41.0
248,-41.0
249,-26.0
250,-26.0
251,-41.0
252,-26.0
253,-26.0
254,-26.0
255,-26.0
256,-26.0
257,-26.0
258,-26.0
259,-26.0
260,-26.0
261,-41.0
262,-26.0
263,-26.0
264,-26.0
265,-26.0
266,-26.0
267,-26.0
268,-26.0
269,-26.0
270,-26.0
271,-26.0
272,-26.0
273,-26.0
274,-41.0
275,-26.0
276,-41.0
277,-41.0
278,-26.0
279,-26.0
280,-26.0
281,-26.0
282,-26.0
283,-26.0
284,-26.0
285,-26.0
286,-41.0
287,-26.0
288,-26.0
289,-41.0
290,-26.0
291,-41.0
292,-26.0
293,-41.0
294,-26.0
295,-26.0
296,-26.0
297,-26.0
298,-41.0
299,-26.0
300,-26.0
