timestep,reward
1,-5.0014973
2,0.3066204
3,-3.9299805
4,2.020083
5,3.0245092
6,-1.036023
7,-0.27278483
8,-200.46886
9,-194.60457
10,-201.49098
11,4.6279206
12,-0.8268116
13,-1.1160707
14,3.9191768
15,4.333917
16,5.043355
17,-176.1471
18,-147.87122
19,-115.858025
20,-82.28979
21,-57.96104
22,-38.196278
23,-23.11971
24,-12.582495
25,-10.518651
26,0.2693295
27,6.8861456
28,10.977187
29,28.22721
30,37.247128
31,54.794178
32,62.87039
33,64.511765
34,59.016624
35,41.77975
36,28.674097
37,5.7982526
38,-25.552826
39,-53.96439
40,-78.145905
41,-107.20588
42,-135.53694
43,-162.73978
44,-188.58125
45,3.765164
46,1.9466357
47,0.30366153
48,-1.1929897
49,-4.5434923
50,-10.871076
51,-14.644655
52,-17.364183
53,-19.253073
54,-20.531727
55,-21.412569
56,-27.098232
57,-27.78291
58,-28.656271
59,-24.89454
60,-26.597076
61,-33.769493
62,-31.445435
63,-34.678204
64,-38.487934
65,-47.638813
66,-44.21522
67,-41.65108
68,-46.5
69,-41.5
70,-41.5
71,-41.5
72,-41.5
73,-41.5
74,-41.5
75,-41.5
76,-41.5
77,-41.5
78,-41.5
79,-41.5
80,-41.5
81,-41.5
82,-41.5
83,-41.5
84,-41.5
85,-41.5
86,-41.5
87,-41.5
88,-41.5
89,-41.5
90,-41.5
91,-41.5
92,-46.5
93,-41.5
94,-41.5
95,-41.5
96,-41.5
97,-41.5
98,-46.5
99,-46.5
100,-46.5
101,-41.5
102,-41.5
103,-41.5
104,-41.5
105,-41.5
106,-46.5
107,-41.5
108,-46.5
109,-41.5
110,-41.5
111,-46.5
112,-41.5
113,-41.5
114,-41.5
115,-41.5
116,-41.5
117,-46.5
118,-46.5
119,-41.5
120,-41.5
121,-41.5
122,-46.5
123,-41.5
124,-41.5
125,-41.5
126,-41.5
127,-41.5
128,-41.5
129,-41.5
130,-41.5
131,-41.5
132,-46.5
133,-41.5
134,-41.5
135,-41.5
136,-41.5
137,-41.5
138,-10.001505
139,0.30660155
140,-3.9301798
141,2.0190866
142,3.0211005
143,-1.0452801
144,4.7060256
145,-201.9052
146,-197.29477
147,4.925065
148,4.385016
149,3.785831
150,3.2976217
151,3.0731952
152,3.1626925
153,3.4760778
154,3.9136028
155,4.382588
156,-0.20466343
157,-203.57097
158,-197.83478
159,-198.60223
160,4.9081964
161,4.3986874
162,3.6846964
163,2.8912246
164,2.154396
165,1.6076279
166,1.3684217
167,1.469901
168,1.8317994
169,2.3679402
170,2.9986413
171,3.6498497
172,4.2729564
173,4.8531346
174,-194.41245
175,-178.1286
176,-165.06848
177,-160.1766
178,-148.06952
179,-143.33429
180,-140.58107
181,-139.4257
182,-139.48557
183,-140.38184
184,-141.74394
185,-143.21294
186,-129.64153
187,-97.59285
188,-67.94188
189,-56.884785
190,-41.797966
191,-35.710697
192,-32.02792
193,-29.345879
194,-26.3598
195,-21.85571
196,-19.840908
197,-4.943718
198,7.3869967
199,21.297705
200,35.627605
201,43.823837
202,58.86326
203,64.08259
204,64.40501
205,61.394463
206,57.610435
207,54.946476
208,53.18421
209,45.99788
210,46.451096
211,36.554573
212,17.37546
213,-19.3709
214,-60.888588
215,-127.592575
216,-197.50127
217,-3.005657
218,-9.254521
219,-14.462274
220,-18.247288
221,-20.311108
222,-20.769999
223,-20.234987
224,-19.220558
225,-18.138033
226,-17.324772
227,-16.902693
228,-16.757803
229,-21.834965
230,-17.106459
231,-17.544188
232,-18.120394
233,-18.807611
234,-19.578402
235,-20.405169
236,-22.983147
237,-28.38495
238,-32.10645
239,-35.396576
240,-38.131367
241,-40.168884
242,-41.378635
243,-41.663017
244,-40.96846
245,-44.287502
246,-36.71851
247,-33.728275
248,-31.06783
249,-29.201626
250,-28.54672
251,-29.460447
252,-31.573074
253,-38.54478
254,-34.201298
255,-32.497833
256,-27.857733
257,-21.195171
258,-14.391164
259,-8.2925005
260,-3.5571544
261,-0.9503683
262,-0.73077464
263,-2.341085
264,-5.249816
265,-13.893715
266,-12.660451
267,-16.050537
268,-18.766165
269,-20.50583
270,-20.974455
271,-19.999449
272,-17.88883
273,-15.436599
274,-13.2362
275,-11.786982
276,-11.538955
277,-12.590378
278,-19.57391
279,-17.176996
280,-20.102516
281,-23.026676
282,-25.605556
283,-27.485739
284,-28.323517
285,-27.81307
286,-23.831598
287,-18.217419
288,-23.934645
289,-21.297255
290,-25.020119
291,-34.601208
292,-34.396084
293,-38.641094
294,-41.48433
295,-47.076454
296,-39.951862
297,-36.044197
298,-37.360973
299,-34.92993
300,-29.467327
