timestep,reward
1,-416.93777
2,-421.73337
3,-388.82327
4,-332.73636
5,-270.88443
6,-216.45232
7,-178.29425
8,-162.59767
9,-174.72221
10,-215.15297
11,-272.1977
12,-325.86923
13,-349.84897
14,-320.343
15,-239.25482
16,-144.7136
17,-58.183895
18,-0.75544137
19,27.91895
20,43.767296
21,47.308315
22,48.518394
23,49.90455
24,52.652374
25,55.03904
26,53.453175
27,46.539417
28,36.615997
29,28.629118
30,25.833055
31,26.438107
32,26.975227
33,23.913645
34,13.003026
35,-10.357854
36,-47.76923
37,-96.750755
38,-149.71321
39,-195.0815
40,-224.57085
41,-239.79648
42,-246.33513
43,-250.70628
44,-259.77112
45,-280.87772
46,-322.77798
47,-397.32828
48,-10.063658
49,-14.649695
50,-9.596042
51,-8.745145
52,-8.327458
53,-8.252032
54,-8.425047
55,-8.750407
56,-9.1302
57,-9.465319
58,-9.656005
59,-9.624295
60,-9.417982
61,-24.248634
62,-24.323236
63,-9.840661
64,-10.995778
65,-27.929642
66,-15.707507
67,-19.402523
68,-24.101772
69,-44.854286
70,-36.418385
71,-43.1173
72,-64.22018
73,-53.967342
74,-71.6802
75,-57.311962
76,-56.605434
77,-55.144527
78,-68.35351
79,-51.578663
80,-50.07187
81,-64.016136
82,-48.6274
83,-49.14791
84,-50.76911
85,-53.27944
86,-55.943302
87,-72.81103
88,-57.832417
89,-72.0
90,-71.56385
91,-54.598408
92,-51.730106
93,-49.892155
94,-48.986847
95,-49.462296
96,-66.838356
97,-56.56598
98,-59.62547
99,-72.0
100,-57.0
101,-57.0
102,-57.0
103,-72.0
104,-72.0
105,-57.0
106,-57.0
107,-57.0
108,-57.0
109,-57.0
110,-57.0
111,-57.0
112,-72.0
113,-72.0
114,-72.0
115,-57.0
116,-57.0
117,-57.0
118,-57.0
119,-57.0
120,-72.0
121,-72.0
122,-57.0
123,-71.9408
124,-54.320873
125,-48.60118
126,-61.74243
127,-62.16285
128,-50.814587
129,-57.102287
130,-74.85909
131,-72.0
132,-57.0
133,-57.0
134,-57.0
135,-57.0
136,-57.0
137,-57.0
138,-72.0
139,-57.0
140,-57.0
141,-57.0
142,-57.0
143,-72.0
144,-57.0
145,-57.0
146,-72.0
147,-57.0
148,-57.0
149,-57.0
150,-72.0
151,-57.0
152,-72.0
153,-57.0
154,-57.0
155,-57.0
156,-57.0
157,-57.0
158,-57.0
159,-57.0
160,-72.0
161,-57.0
162,-57.0
163,-57.0
164,-421.93777
165,-421.73672
166,-388.8554
167,-332.88208
168,-271.30002
169,-217.33934
170,-179.88037
171,-165.18335
172,-178.78676
173,-221.41473
174,-281.46362
175,-338.7684
176,-366.47733
177,-339.8987
178,-260.0497
179,-164.793
180,-75.83964
181,-15.044441
182,16.674236
183,34.160038
184,37.914055
185,38.500282
186,39.47619
187,43.46588
188,49.749985
189,54.347893
190,54.816517
191,51.92003
192,48.83349
193,47.977757
194,48.618473
195,49.0237
196,47.519814
197,41.36361
198,25.886574
199,-2.615466
200,-49.005722
201,-92.5929
202,-137.92554
203,-171.51187
204,-193.60983
205,-208.52693
206,-221.91576
207,-240.20686
208,-270.76483
209,-322.7962
210,-409.02948
211,-12.855293
212,-23.730282
213,-14.562601
214,-14.754223
215,-15.336415
216,-16.21255
217,-17.284206
218,-18.45181
219,-19.615145
220,-20.673944
221,-21.528418
222,-37.103172
223,-22.458208
224,-22.825546
225,-23.423353
226,-24.457533
227,-26.126661
228,-28.568232
229,-31.839281
230,-36.01247
231,-41.18057
232,-47.3998
233,-54.403465
234,-59.358562
235,-58.65162
236,-57.0
237,-57.0
238,-57.0
239,-72.0
240,-57.0
241,-57.0
242,-57.0
243,-57.0
244,-57.0
245,-57.0
246,-57.0
247,-57.0
248,-57.0
249,-72.0
250,-57.0
251,-57.0
252,-57.0
253,-57.0
254,-56.34521
255,-68.30673
256,-49.135838
257,-47.218872
258,-46.637115
259,-47.886738
260,-66.56701
261,-72.19791
262,-58.046818
263,-65.91723
264,-48.14879
265,-47.324883
266,-47.137188
267,-47.425987
268,-47.999176
269,-63.653225
270,-49.183884
271,-49.395138
272,-49.14939
273,-48.564404
274,-48.037483
275,-47.88027
276,-48.366985
277,-64.71278
278,-51.760277
279,-53.881702
280,-55.527733
281,-56.18926
282,-55.452293
283,-53.36318
284,-50.443176
285,-47.011066
286,-43.269722
287,-39.452778
288,-36.094547
289,-34.07204
290,-34.2116
291,-37.43727
292,-44.67666
293,-55.81663
294,-62.38043
295,-57.261196
296,-57.0
297,-57.0
298,-57.0
299,-57.0
300,-57.0
