timestep,reward
1,45.37333
2,52.194065
3,53.71489
4,54.716698
5,55.054268
6,54.548084
7,52.766422
8,48.68811
9,40.241867
10,24.01734
11,-4.173678
12,-52.594334
13,-111.19648
14,-180.56349
15,-255.05223
16,-327.7572
17,-410.07968
18,-14.784131
19,-20.310692
20,-31.660088
21,-38.661724
22,-46.179615
23,-46.398468
24,-44.218098
25,-26.0
26,-41.0
27,-41.0
28,-41.0
29,-41.0
30,-41.0
31,-41.0
32,-26.0
33,-41.0
34,-41.0
35,40.373478
36,52.19962
37,53.75253
38,54.805264
39,54.994198
40,53.403698
41,47.922054
42,34.545322
43,2.3482258
44,-44.79315
45,-114.976685
46,-205.98212
47,-310.06543
48,-416.05087
49,-15.384048
50,-19.589256
51,-23.44204
52,-27.475533
53,-32.24736
54,-38.036407
55,-44.4911
56,-46.488182
57,-41.0
58,-41.0
59,-41.0
60,-41.0
61,-41.0
62,-41.0
63,-41.0
64,-41.0
65,-41.0
66,-41.0
67,40.373386
68,52.19625
69,53.729496
70,54.75172
71,55.045456
72,54.212917
73,51.416706
74,45.128853
75,32.978176
76,11.941813
77,-20.824451
78,-71.75387
79,-129.47926
80,-189.46866
81,-257.04434
82,-326.5664
83,-400.33978
84,-13.691843
85,-18.86827
86,-29.891293
87,-36.56441
88,-43.717957
89,-50.379635
90,-46.258503
91,-41.0
92,-41.0
93,-41.0
94,-41.0
95,-41.0
96,-41.0
97,-41.0
98,-41.0
99,-41.0
100,-41.0
101,-41.0
102,-41.0
103,40.373463
104,52.19963
105,53.755306
106,54.81927
107,54.958687
108,52.835625
109,45.14607
110,20.846718
111,-17.964622
112,-82.748955
113,-174.60742
114,-287.9725
115,-411.8993
116,-21.739489
117,-21.674475
118,-25.68517
119,-29.340593
120,-33.261417
121,-38.089584
122,-44.10459
123,-46.254147
124,-41.0
125,-41.0
126,-41.0
127,-41.0
128,-41.0
129,-41.0
130,-41.0
131,-41.0
132,-41.0
133,40.373478
134,52.20031
135,53.759865
136,54.82892
137,54.940407
138,52.641533
139,44.388542
140,18.816555
141,-22.172718
142,-89.88673
143,-184.96414
144,-301.32526
145,-427.64978
146,-22.630873
147,-22.52584
148,-26.48868
149,-30.101688
150,-33.996372
151,-38.824684
152,-44.344296
153,-45.595745
154,-41.0
155,-41.0
156,-41.0
157,-41.0
158,-41.0
159,-41.0
160,-41.0
161,-41.0
162,-41.0
163,40.373478
164,52.20031
165,53.759857
166,54.82863
167,54.942093
