timestep,reward
1,-6.9887104
2,-1.7288283
3,-1.900749
4,-2.1437492
5,-2.2726083
6,-2.0808454
7,-1.3638352
8,0.050213657
9,-143.88399
10,-67.64892
11,2.5119834
12,45.038277
13,53.741535
14,34.869484
15,1.5503469
16,-32.39374
17,-74.97412
18,-124.67543
19,-183.9456
20,-6.951488
21,-14.2056055
22,-20.339334
23,-19.261232
24,-20.137438
25,-23.426573
26,-20.979864
27,-19.185177
28,-19.146387
29,-21.898556
30,-27.792858
31,-36.14714
32,-51.37079
33,-52.244602
34,-42.521587
35,-46.5
36,-46.5
37,-11.988701
38,-1.728372
39,-1.8976208
40,-2.1359782
41,2.7328403
42,-2.0950425
43,-1.416431
44,-0.051851217
45,-148.55472
46,-72.58656
47,-1.5941021
48,42.870163
49,54.297832
50,38.273544
51,7.3345714
52,-24.86604
53,-66.25983
54,-115.15775
55,-178.85553
56,-6.140764
57,-13.505056
58,-19.765097
59,-23.83078
60,-24.865067
61,-23.316597
62,-21.033888
63,-19.418865
64,-19.594645
65,-22.618517
66,-28.867844
67,-37.689762
68,-53.1775
69,-52.753742
70,-46.5
71,-46.5
72,-11.988718
73,-1.7290175
74,-1.904412
75,-2.171357
76,-2.3849962
77,-2.3772962
78,-1.9336299
79,-0.8077472
80,-178.23863
81,-97.52837
82,-16.987621
83,37.095222
84,54.583317
85,40.065308
86,7.147181
87,-28.938997
88,-75.06085
89,-129.10538
90,-198.42152
91,-8.251536
92,-15.847043
93,-22.305717
94,-26.529068
95,-27.669182
96,-26.204594
97,-24.05601
98,-22.654955
99,-23.13237
100,-26.558874
101,-33.324463
102,-42.781136
103,-50.67819
104,-49.603153
105,-46.5
106,-11.988674
107,-1.7268116
108,-1.8811896
109,-2.0503109
110,-1.9784392
111,-1.3716949
112,0.042630903
113,-139.16449
114,-54.493862
115,20.485165
116,54.013584
117,35.391624
118,-27.152004
119,-111.54012
120,-195.1697
121,-6.113618
122,-10.9069805
123,-15.684164
124,-21.43129
125,-28.335348
126,-35.359303
127,-41.34526
128,-45.086086
129,-45.639076
130,-43.743496
131,-41.762794
132,-40.959835
133,-42.218285
134,-46.380444
135,-49.30804
136,-11.988673
137,-1.7267935
138,-1.880976
139,-2.049261
140,-1.975442
141,-1.3652344
142,0.05530009
143,-138.49791
144,-53.715134
145,21.080406
146,54.101334
147,34.7635
148,-28.538986
149,-113.58777
150,-197.71529
151,-6.346499
152,-11.138904
153,-15.918412
154,-21.67378
155,-28.593243
156,-35.638756
157,-41.651165
158,-45.419712
159,-45.99615
160,-44.11829
161,-42.14098
162,-41.317005
163,-42.558308
164,-46.48781
165,-49.05283
166,-11.988673
167,-1.7267933
168,-1.8808954
169,-2.0484262
170,-1.9711822
171,-1.3514869
172,0.08693468
173,-136.84433
174,-51.891087
175,22.373098
176,54.257812
177,33.51165
178,-31.121134
179,-117.17425
180,-201.901
181,-6.6954036
182,-11.457509
183,-16.208527
184,-21.938614
185,-28.83475
186,-35.855503
187,-41.83981
188,-45.575493
189,-46.11491
190,-44.202328
191,-42.20175
192,-41.36633
193,-42.600708
194,-46.496944
195,-49.01577
196,-11.988674
197,-1.7270889
198,-1.8837594
199,-2.062044
200,-2.0132086
201,-1.4485939
202,-0.09292396
203,-145.24606
204,-60.508846
205,16.42557
206,53.334
207,38.603416
208,-20.402824
209,-102.17468
210,-184.24362
211,-5.1838403
212,-10.048778
213,-14.886079
214,-20.677078
215,-27.610003
216,-34.655037
217,-40.659164
218,-44.42215
219,-45.007523
220,-43.145443
221,-41.19467
222,-40.4334
223,-41.724045
224,-46.081062
225,-49.454426
226,-11.988674
227,-1.7268379
228,-1.8813483
229,-2.0510435
230,-1.981876
231,-1.3843796
232,0.0094886245
233,-141.10161
234,-56.87752
235,18.607712
236,53.68923
237,37.285168
238,-22.923405
239,-105.31745
240,-187.49588
241,-5.41537
242,-10.222213
243,-15.005128
244,-20.743734
245,-27.623045
246,-34.610455
247,-40.552647
248,-44.25208
249,-44.778484
250,-42.866188
251,-40.884354
252,-40.125637
253,-41.425007
254,-45.786007
255,-49.366463
256,-11.988674
257,-1.7269634
258,-1.882635
259,-2.05733
260,-2.000641
261,-1.4231983
262,-0.050280917
263,-143.32831
264,-58.560402
265,17.80077
266,53.599167
267,37.49293
268,-22.845768
269,-105.675865
270,-188.44894
271,-5.5569363
272,-10.40434
273,-15.228898
274,-21.014915
275,-27.95132
276,-35.00624
277,-41.025017
278,-44.80384
279,-45.40139
280,-43.549637
281,-41.601135
282,-40.81874
283,-42.090523
284,-46.34517
285,-49.410202
286,-11.988674
287,-1.726919
288,-1.8821464
289,-2.054581
290,-1.9910764
291,-1.3996538
292,-0.0054129926
293,-141.21548
294,-56.397675
295,19.28934
296,53.848648
297,36.28307
298,-25.402626
299,-109.24443
300,-192.63371
301,-5.9144754
302,-10.735379
303,-15.536974
304,-21.305151
305,-28.227837
306,-35.269623
307,-41.273216
308,-45.03169
309,-45.601757
310,-43.720295
311,-41.748295
312,-40.94933
313,-42.21012
314,-46.379456
315,-49.31613
316,-11.988674
317,-1.7269099
318,-1.8820491
319,-2.0539372
320,-1.9877696
321,-1.3884404
322,0.020193199
323,-139.92453
324,-55.04199
325,20.21496
326,53.985275
327,35.520073
328,-26.960497
329,-111.36404
330,-195.0589
331,-6.113671
332,-10.913719
333,-15.696384
334,-21.448338
335,-28.356993
336,-35.385426
337,-41.37573
338,-45.120495
339,-45.676643
340,-43.78348
341,-41.80364
342,-40.998672
343,-42.255367
344,-46.392345
345,-49.280415
346,-11.988673
347,-1.7267933
348,-1.8808956
349,-2.0484974
350,-1.971793
351,-1.3541073
352,0.07959828
353,-137.28807
354,-52.444065
355,21.945803
356,54.206158
357,33.983067
358,-30.116934
359,-115.74014
360,-200.18748
361,-6.5488925
362,-11.320613
363,-16.080553
364,-21.817797
365,-28.719263
366,-35.74441
367,-41.732468
368,-45.471745
369,-46.014965
370,-44.105225
371,-42.10781
372,-41.27915
373,-42.518555
374,-46.47206
375,-49.07871
376,-11.988673
377,-1.7267935
378,-1.8809676
379,-2.0490906
380,-1.9738915
381,-1.3584756
382,0.07301732
383,-137.54892
384,-52.69349
385,21.76552
386,54.182026
387,34.21219
388,-29.560123
389,-114.82271
390,-198.91023
391,-6.4149003
392,-11.170109
393,-15.90964
394,-21.61998
395,-28.485954
396,-35.46692
397,-41.40323
398,-45.08776
399,-45.581284
400,-43.63024
401,-41.61401
402,-40.80622
403,-42.065407
404,-46.32583
405,-49.415333
406,-11.988673
407,-1.7268022
408,-1.8811554
409,-2.0506492
410,-1.9807513
411,-1.3782338
412,0.031464208
413,-139.58022
414,-54.795277
415,20.354975
416,54.004143
417,35.401997
418,-27.215456
419,-111.73345
420,-195.50897
421,-6.1539445
422,-10.953124
423,-15.735712
424,-21.488876
425,-28.400341
426,-35.433285
427,-41.429955
428,-45.18277
429,-45.747883
430,-43.86394
431,-41.889267
432,-41.081085
433,-42.334583
434,-46.418125
435,-49.221836
436,-11.988673
437,-1.7267933
438,-1.8808954
439,-2.048425
440,-1.9713361
441,-1.3533274
442,0.07897681
443,-137.418
444,-52.67467
445,21.7328
446,54.175335
447,34.27615
448,-29.418596
449,-114.62318
450,-198.68382
451,-6.397859
452,-11.157434
453,-15.902405
454,-21.619581
455,-28.494421
456,-35.487034
457,-41.438274
458,-45.14084
459,-45.65409
460,-43.722748
461,-41.719433
462,-40.9107
463,-42.167126
464,-46.360306
465,-49.341652
466,-11.988673
467,-1.7267933
468,-1.8808961
469,-2.048669
470,-1.9733986
471,-1.3610085
472,0.061437257
473,-138.29645
474,-53.60053
475,21.103575
476,54.098473
477,34.819782
478,-28.358149
479,-113.24915
480,-197.21048
481,-6.290724
482,-11.074847
483,-15.844718
484,-21.587955
485,-28.491934
486,-35.51884
487,-41.510452
488,-45.258537
489,-45.818657
490,-43.930325
491,-41.951836
492,-41.138603
493,-42.388428
494,-46.43435
495,-49.180447
496,-11.988673
497,-1.7267935
498,-1.880995
499,-2.0493922
500,-1.9756749
501,-1.3662075
502,0.049729794
503,-138.99968
504,-54.51068
505,20.36083
506,53.98256
507,35.65799
508,-26.460163
509,-110.3899
510,-193.59315
511,-5.9524918
512,-10.7326975
513,-15.494099
514,-21.220257
515,-28.096533
516,-35.08659
517,-41.034294
518,-44.737152
519,-45.259415
520,-43.340965
521,-41.351704
522,-40.567528
523,-41.843575
524,-46.190872
525,-49.479687
526,-11.988673
527,-1.7267933
528,-1.8809046
529,-2.048947
530,-1.9763854
531,-1.3764633
532,0.0131748095
533,-141.35435
534,-57.520267
535,17.96026
536,53.54665
537,38.02108
538,-21.179552
539,-102.66465
540,-184.15553
541,-5.1038203
542,-9.915315
543,-14.700956
544,-20.437075
545,-27.307577
546,-34.281536
547,-40.207176
548,-43.89032
549,-44.404957
550,-42.48127
551,-40.49007
552,-39.743446
553,-41.05946
554,-45.429935
555,-49.262142
556,-11.988674
557,-1.726928
558,-1.8822167
559,-2.0545788
560,-1.9892188
561,-1.3904251
562,0.019262468
563,-139.85835
564,-54.874035
565,20.379404
566,54.0131
567,35.329857
568,-27.372429
569,-111.93997
570,-195.71887
571,-6.1665883
572,-10.959239
573,-15.734712
574,-21.479866
575,-28.381826
576,-35.403183
577,-41.38588
578,-45.12266
579,-45.67103
580,-43.771397
581,-41.78791
582,-40.982544
583,-42.23931
584,-46.386612
585,-49.291656
586,-11.988673
587,-1.7267936
588,-1.8810127
589,-2.0496428
590,-1.977213
591,-1.3707973
592,0.041981943
593,-139.24608
594,-54.614616
595,20.383904
596,53.99716
597,35.506073
598,-26.892889
599,-111.1517
600,-194.6817
601,-6.0683866
602,-10.861663
603,-15.638384
604,-21.38437
605,-28.28663
606,-35.30864
607,-41.293003
608,-45.033207
609,-45.58699
610,-43.69272
611,-41.713585
612,-40.913857
613,-42.17484
614,-46.36688
615,-49.340916
616,-11.988674
617,-1.7268201
618,-1.8811525
619,-2.0495853
620,-1.9744141
621,-1.3583747
622,0.07430456
623,-137.44322
624,-52.514626
625,21.947208
626,54.210777
627,33.913967
628,-30.307693
629,-116.059784
630,-200.61444
631,-6.589692
632,-11.361954
633,-16.122652
634,-21.8618
635,-28.767094
636,-35.79855
637,-41.796165
638,-45.54854
639,-46.10777
640,-44.21514
641,-42.22743
642,-41.394634
643,-42.62999
644,-46.50813
645,-48.9962
646,-11.988683
647,-1.7272688
648,-1.8855325
649,-2.0702398
650,-2.0368614
651,-1.4978343
652,-0.17334022
653,-148.62749
654,-63.615273
655,14.434006
656,52.942867
657,39.883842
658,-17.698187
659,-98.47551
660,-179.99821
661,-4.826146
662,-9.725821
663,-14.593144
664,-20.408216
665,-27.360188
666,-34.421986
667,-40.44201
668,-44.22164
669,-44.82541
670,-42.97972
671,-41.040913
672,-40.292145
673,-41.59237
674,-45.955345
675,-49.42072
676,-11.988674
677,-1.7270168
678,-1.883041
679,-2.0588264
680,-2.0045857
681,-1.4323305
682,-0.068356924
683,-144.23047
684,-59.540497
685,17.087107
686,53.46264
687,38.093475
688,-21.515242
689,-103.7471
690,-186.09898
691,-5.344177
692,-10.196919
693,-15.023547
694,-20.806408
695,-27.73366
696,-34.774464
697,-40.775196
698,-44.534756
699,-45.115875
700,-43.250206
701,-41.296337
702,-40.52857
703,-41.81379
704,-46.167603
705,-49.478176
706,-11.988673
707,-1.7267933
708,-1.8808951
709,-2.0483718
710,-1.9707481
711,-1.3499788
712,0.08991266
713,-136.72343
714,-51.799164
715,22.411806
716,54.259712
717,33.512077
718,-31.094849
719,-117.11569
720,-201.81953
721,-6.6882434
722,-11.451467
723,-16.204086
724,-21.936197
725,-28.83477
726,-35.85832
727,-41.845524
728,-45.58371
729,-46.12459
730,-44.212097
731,-42.21081
732,-41.374638
733,-42.608498
734,-46.49929
735,-49.009827
736,-11.988674
737,-1.7268473
738,-1.8816892
739,-2.0536783
740,-1.9913795
741,-1.40458
742,-0.018652381
743,-141.91855
744,-57.16868
745,18.735865
746,53.755714
747,36.784378
748,-24.29113
749,-107.60212
750,-190.58104
751,-5.7227316
752,-10.540915
753,-15.335605
754,-21.090242
755,-27.991179
756,-35.003307
757,-40.970196
758,-44.68855
759,-45.22149
760,-43.307693
761,-41.31937
762,-40.537426
763,-41.81556
764,-46.164177
765,-49.472687
766,-11.988683
767,-1.7272947
768,-1.8857361
769,-2.071273
770,-2.040405
771,-1.5068938
772,-0.19162756
773,-149.57133
774,-64.7018
775,13.575787
776,52.728268
777,40.583614
778,-16.034962
779,-95.991615
780,-176.92332
781,-4.541117
782,-9.448461
783,-14.320574
784,-20.135027
785,-27.080353
786,-34.13138
787,-40.138386
788,-43.90646
789,-44.50457
790,-42.65647
791,-40.718803
792,-39.9859
793,-41.301434
794,-45.673374
795,-49.34024
796,-11.988674
797,-1.7270893
798,-1.8839751
799,-2.0641754
800,-2.0227246
801,-1.4749988
802,-0.14639434
803,-147.88327
804,-63.33539
805,14.360049
806,52.878464
807,40.209778
808,-16.731575
809,-96.785675
810,-177.62361
811,-4.5736985
812,-9.452026
813,-14.294116
814,-20.0753
815,-26.981234
816,-33.984646
817,-39.93511
818,-43.64
819,-44.174446
820,-42.264465
821,-40.279827
822,-39.54382
823,-40.871216
824,-45.24876
825,-49.20991
826,-11.988674
827,-1.7269281
828,-1.8822254
829,-2.054723
830,-1.9904665
831,-1.3958694
832,0.00373471
833,-140.81651
834,-56.091343
835,19.408072
836,53.852474
837,36.343723
838,-25.110802
839,-108.606285
840,-191.60315
841,-5.7934237
842,-10.593561
843,-15.372619
844,-21.113852
845,-28.003271
846,-35.00571
847,-40.96528
848,-44.679493
849,-45.212112
850,-43.30141
851,-41.31679
852,-40.536263
853,-41.814945
854,-46.163956
855,-49.47295
856,-11.988673
857,-1.7267933
858,-1.8808957
859,-2.0485342
860,-1.9722553
861,-1.3564473
862,0.07286163
863,-137.6644
864,-52.861298
865,21.657581
866,54.172535
867,34.248196
868,-29.574274
869,-114.97837
870,-199.27155
871,-6.4676356
872,-11.240466
873,-16.000065
874,-21.735062
875,-28.632544
876,-35.65308
877,-41.637333
878,-45.37579
879,-45.92329
880,-44.02187
881,-42.03301
882,-41.211483
883,-42.455708
884,-46.453693
885,-49.127625
886,-11.988674
887,-1.7269552
888,-1.8824918
889,-2.0560787
890,-1.9951117
891,-1.4079001
892,-0.020298744
893,-141.9686
894,-57.273685
895,18.603695
896,53.724327
897,36.975555
898,-23.829632
899,-106.90044
900,-189.71371
901,-5.646192
902,-10.471027
903,-15.274526
904,-21.040314
905,-27.956
906,-34.988495
907,-40.98291
908,-44.73632
909,-45.30974
910,-43.43743
911,-41.47762
912,-40.697906
913,-41.97342
914,-46.30565
915,-49.49522
916,-11.988674
917,-1.7268825
918,-1.8817376
919,-2.0523183
920,-1.9824264
921,-1.3749219
922,0.04856914
923,-138.43098
924,-53.327145
925,21.496431
926,54.166298
927,34.2158
928,-29.771173
929,-115.412895
930,-199.96121
931,-6.5453596
932,-11.328587
933,-16.098213
934,-21.843979
935,-28.753227
936,-35.785267
937,-41.778797
938,-45.52122
939,-46.06444
940,-44.152264
941,-42.15163
942,-41.319458
943,-42.5564
944,-46.483437
945,-49.049618
946,-11.988674
947,-1.7270175
948,-1.883175
949,-2.0600064
