timestep,reward
1,50.18603
2,53.186054
3,50.547985
4,48.663757
5,47.543037
6,46.30728
7,43.48206
8,36.73264
9,22.278559
10,-4.8379526
11,-53.917435
12,-116.833534
13,-197.24179
14,-291.16544
15,-394.3689
16,-22.674534
17,-33.934166
18,-45.30732
19,-57.252926
20,-69.916214
21,-74.954124
22,-75.573006
23,-72.0
24,-72.0
25,-72.0
26,-72.0
27,-72.0
28,-72.0
29,-72.0
30,-72.0
31,-72.0
32,-72.0
33,-72.0
34,45.18603
35,53.18642
36,50.555946
37,48.724705
38,47.798256
39,47.06996
40,45.432213
41,41.35683
42,32.42606
43,15.114352
44,-14.453426
45,-64.31473
46,-125.40712
47,-201.16919
48,-289.03723
49,-387.78946
50,-21.931137
51,-33.747395
52,-46.14152
53,-59.182125
54,-72.38196
55,-76.15315
56,-74.43311
57,-72.0
58,-72.0
59,-72.0
60,-72.0
61,-72.0
62,-72.0
63,-72.0
64,-72.0
65,-72.0
66,-72.0
67,-72.0
68,45.186028
69,53.183933
70,50.515167
71,48.478138
72,46.95118
73,44.976376
74,41.055523
75,32.897686
76,16.982824
77,-11.122556
78,-60.219093
79,-122.06854
80,-200.58624
81,-292.18408
82,-392.96814
83,-22.268055
84,-33.37167
85,-44.63052
86,-56.48889
87,-69.08
88,-74.531586
89,-75.97489
90,-72.0
91,-72.0
92,-72.0
93,-72.0
94,-72.0
95,-57.0
96,-72.0
97,-72.0
98,-72.0
99,-72.0
100,-72.0
101,45.18604
102,53.188328
103,50.588264
104,48.930527
105,48.54109
106,48.930573
107,49.17743
108,48.12661
109,43.921474
110,33.034286
111,10.261069
112,-34.525036
113,-93.86808
114,-171.67535
115,-264.88263
116,-371.37775
117,-21.415058
118,-34.305447
119,-47.719868
120,-61.795845
121,-76.128586
122,-78.3494
123,-72.46015
124,-72.0
125,-72.0
126,-72.0
127,-72.0
128,-72.0
129,-72.0
130,-72.0
131,-72.0
132,-72.0
133,45.186024
134,53.183167
135,50.503315
136,48.40286
137,46.62945
138,43.866497
139,37.773624
140,24.4566
141,-1.7135407
142,-51.494007
143,-117.89697
144,-205.04549
145,-308.69513
146,-422.73892
147,-26.417238
148,-37.716496
149,-48.669903
150,-59.816235
151,-71.764946
152,-75.69749
153,-74.64169
154,-72.0
155,-72.0
156,-72.0
157,-72.0
158,-72.0
159,-72.0
160,-72.0
161,-72.0
162,-72.0
163,45.186024
164,53.183304
165,50.50506
166,48.4097
167,46.642128
168,43.87633
169,37.753548
170,24.343206
171,-2.030126
172,-52.146008
173,-118.99028
174,-206.6281
175,-310.75565
176,-425.22437
177,-26.694654
178,-37.997368
179,-48.953568
180,-60.105152
181,-72.06504
182,-75.840355
183,-74.49232
184,-72.0
185,-72.0
186,-72.0
187,-72.0
188,-72.0
189,-72.0
190,-72.0
191,-72.0
192,-72.0
193,45.186024
194,53.183167
195,50.503155
196,48.4012
197,46.621696
198,43.843422
199,37.71819
200,24.338217
201,-1.9386508
202,-51.870064
203,-118.45166
204,-205.78233
205,-309.59738
206,-423.77835
207,-26.528599
208,-37.82622
209,-48.778522
210,-59.925423
211,-71.87772
212,-75.751205
213,-74.58552
214,-72.0
215,-72.0
216,-72.0
217,-72.0
218,-72.0
219,-72.0
220,-72.0
221,-72.0
222,-72.0
223,45.186024
224,53.18321
225,50.503994
226,48.406254
227,46.638073
228,43.878307
229,37.77076
230,24.384304
231,-1.9576359
232,-52.02739
233,-118.79655
234,-206.31996
235,-310.29327
236,-424.5735
237,-26.607695
238,-37.89401
239,-48.83121
240,-59.959194
241,-71.88772
242,-75.74342
243,-74.583405
244,-72.0
245,-72.0
246,-72.0
247,-72.0
248,-72.0
249,-72.0
250,-72.0
251,-72.0
252,-72.0
253,45.186024
254,53.18333
255,50.505375
256,48.411034
257,46.643707
258,43.870556
259,37.718723
260,24.2336
261,-2.285973
262,-52.621628
263,-119.72824
264,-207.62762
265,-311.98248
266,-426.62766
267,-26.84216
268,-38.139496
269,-49.090153
270,-60.237415
271,-72.19557
272,-75.89929
273,-74.42772
274,-72.0
275,-72.0
276,-72.0
277,-72.0
278,-72.0
279,-72.0
280,-72.0
281,-72.0
282,-72.0
283,45.186024
284,53.183537
285,50.508564
286,48.42953
287,46.707966
288,44.03934
289,38.099037
290,24.998362
291,-0.92393285
292,-50.489067
293,-116.765144
294,-203.89752
295,-307.63602
296,-421.85446
297,-26.360483
298,-37.691452
299,-48.675205
300,-59.851925
301,-71.83328
302,-75.74422
303,-74.60508
304,-72.0
305,-72.0
306,-72.0
307,-72.0
308,-72.0
309,-72.0
310,-72.0
311,-72.0
312,-72.0
313,45.186024
314,53.18316
315,50.502953
316,48.398434
317,46.60547
318,43.782284
319,37.538784
320,23.895544
321,-2.861454
322,-53.495075
323,-120.91643
324,-209.10292
325,-313.68533
326,-428.48245
327,-27.026825
