timestep,reward
1,39.53761
2,44.05034
3,46.521656
4,49.9889
5,53.10222
6,54.938015
7,54.488827
8,50.54599
9,42.39456
10,29.920177
11,11.933353
12,-14.134731
13,-52.878223
14,-116.68408
15,-202.44156
16,-314.69684
17,-446.5381
18,-24.685606
19,-30.535696
20,-29.84887
21,-33.31175
22,-36.663193
23,-40.61169
24,-29.313702
25,-43.892387
26,-41.0
27,-41.0
28,-41.0
29,-41.0
30,-41.0
31,-41.0
32,-41.0
33,34.53761
34,44.05071
35,46.52451
36,49.99267
37,53.07965
38,54.8872
39,54.731335
40,52.161064
41,47.263847
42,40.21833
43,29.770527
44,13.175726
45,-14.21521
46,-64.71582
47,-135.7078
48,-233.2543
49,-351.9275
50,-19.205433
51,-25.198568
52,-24.709621
53,-28.33858
54,-31.759205
55,-35.624146
56,-40.545464
57,-44.88499
58,-44.01548
59,-41.0
60,-41.0
61,-41.0
62,-41.0
63,-41.0
64,-41.0
65,-41.0
66,-41.0
67,34.53745
68,44.042076
69,46.444595
70,49.676483
71,52.408485
72,54.16606
73,54.970505
74,54.95493
75,54.248684
76,52.75492
77,49.39114
78,41.61075
79,24.72256
80,-13.921588
81,-72.90841
82,-160.37505
83,-272.36606
84,-398.21164
85,-21.285568
86,-21.372074
87,-25.519522
88,-29.376978
89,-33.59125
90,-38.77724
91,-44.521946
92,-45.71182
93,-41.0
94,-41.0
95,-41.0
96,-41.0
97,-41.0
98,-41.0
99,-41.0
100,-41.0
101,34.537407
102,44.04002
103,46.42382
104,49.576813
105,52.109722
106,53.54196
107,53.987976
108,53.479584
109,51.05162
110,44.511585
111,32.448288
112,16.2052
113,0.44833618
114,-8.323779
115,-6.6594224
116,2.6524413
117,14.986504
118,26.450779
119,34.8896
120,40.506344
121,45.004078
122,49.451622
123,53.591557
124,55.005955
125,48.845
126,25.842009
127,-4.26202
128,-36.664635
129,-72.65655
130,-100.27985
131,-119.972404
132,-135.98279
133,-154.1517
134,-181.11726
135,-221.75145
136,-276.71933
137,-345.3433
138,-426.19598
139,-0.5292472
140,-20.293177
141,-24.790998
142,-13.805905
143,-17.101461
144,-34.433437
145,-20.575169
146,-20.35782
147,-33.712
148,-15.682562
149,-16.285797
150,-22.845686
151,-22.923742
152,-22.280249
153,-21.423592
154,-20.744518
155,-20.550764
156,-21.126497
157,-37.793663
158,-25.979376
159,-43.631393
160,-42.18456
161,-41.0
162,-26.0
163,-41.0
164,-41.0
165,-26.0
166,-26.0
167,-41.0
168,-26.0
169,-40.55358
170,34.537403
171,44.039608
172,46.420216
173,49.562683
174,52.076492
175,53.483913
176,53.891533
177,53.284817
178,50.608894
179,43.628536
180,31.070898
181,14.562882
182,-0.94349533
183,-8.831821
184,-5.816285
185,4.9506874
186,18.478012
187,30.657827
188,39.34729
189,44.83041
190,48.707188
191,51.93906
192,54.476944
193,54.807518
194,49.878086
195,37.43514
196,18.307734
197,-3.2624826
198,-20.901089
199,-30.532082
200,-33.982723
201,-35.37594
202,-39.213676
203,-50.05781
204,-71.39861
205,-104.38791
206,-149.50586
207,-206.62863
208,-274.61047
209,-351.18893
210,-433.07983
211,-15.319683
212,-3.955667
213,-21.763376
214,-23.527412
215,-24.068424
216,-8.267001
217,-21.076853
218,-21.470295
219,-26.822334
220,-12.579266
221,-12.51552
222,-12.071841
223,-26.616346
224,-11.46366
225,-11.910098
226,-13.271777
227,-15.92619
228,-20.253254
229,-26.089113
230,-45.266426
231,-43.515392
232,-41.0
233,-41.0
234,-41.0
235,-26.0
236,-25.845804
237,-20.912912
238,-15.81535
239,-11.328267
240,-7.3088055
241,-14.009441
242,-11.90824
243,3.423382
244,1.7791013
245,-1.475526
246,-5.9720626
247,-11.282
248,-31.88234
249,-37.240738
250,-26.867907
251,-44.605595
252,34.537403
253,44.039352
254,46.419296
255,49.56648
256,52.105236
257,53.56816
258,54.081985
259,53.76663
260,51.98519
261,47.222897
262,38.88165
263,28.875734
264,21.670208
265,22.19692
266,31.20282
267,43.479973
268,52.7822
269,55.003822
270,49.53559
271,38.211166
272,21.86878
273,-0.69191074
274,-32.610855
275,-78.83382
276,-148.15363
277,-228.01399
278,-315.17715
279,-391.8328
280,3.263331
281,2.1642303
282,2.0689476
283,2.2569058
284,2.1328418
285,1.1898055
286,-0.7488008
287,-18.435987
288,-21.673992
289,-10.288274
290,-14.085535
291,-17.865103
292,-21.422665
293,-24.52169
294,-41.89786
295,-28.232773
296,-42.69698
297,-26.0
298,-24.983816
299,-36.16995
300,-21.520573
301,-43.836945
302,-27.401243
303,-41.0
304,-41.0
305,-40.622173
306,-24.877224
307,-25.319818
308,-41.33869
309,-41.428974
310,-41.0
311,-41.0
312,-26.0
313,-26.0
314,-26.0
315,-26.0
316,-41.0
317,34.537403
318,44.039307
319,46.417652
320,49.55397
321,52.062965
322,53.478092
323,53.914673
324,53.39657
325,51.013927
326,44.80068
327,33.71646
328,19.409294
329,6.5664463
330,1.2898515
331,6.313085
332,18.197834
333,31.846146
334,43.222477
335,50.48104
336,54.091743
337,55.095734
338,53.30029
339,46.910873
340,32.164528
341,-0.555581
342,-42.742123
343,-95.99401
344,-146.96918
345,-194.2708
346,-225.5042
347,-243.27484
348,-254.3733
349,-266.82907
350,-288.8536
351,-325.72803
352,-377.42313
353,-442.59293
354,-15.353338
355,-19.620726
356,-8.850711
357,-27.845957
358,-31.387669
359,-19.236958
360,-21.149902
361,-36.905525
362,-36.34581
363,-34.414085
364,-31.164488
365,-16.69022
366,-23.222628
367,-23.126072
368,-22.354631
369,-36.40681
370,-35.660614
371,-35.412785
372,-20.939913
373,-22.558987
374,-25.692583
375,-28.534887
376,-27.445528
377,-26.0
378,-26.0
379,-26.0
380,-41.0
381,-26.0
382,-26.0
383,-26.0
384,-41.0
385,-40.292427
386,34.537407
387,44.039837
388,46.42253
389,49.57428
390,52.114902
391,53.578613
392,54.101692
393,53.828716
394,52.21716
395,47.98116
396,40.79995
397,32.666733
398,27.664652
399,29.818993
400,38.878925
401,49.256893
402,54.9803
403,52.6841
404,42.675755
405,27.381342
406,7.6343236
407,-17.971163
408,-52.81088
409,-101.9931
410,-174.19122
411,-256.43216
412,-345.1212
413,-422.20566
414,1.781528
415,0.85782224
416,0.91681015
417,1.232528
418,1.2132696
419,0.3577918
420,-1.5026898
421,-19.114351
422,-22.279356
423,-25.82394
424,-14.555185
425,-33.273098
426,-21.774399
427,-39.823566
428,-27.157446
429,-43.254425
430,-27.40986
431,-41.0
432,-25.173574
433,-21.601435
434,-36.752373
435,-43.91842
436,-42.122383
437,-41.0
438,-26.0
439,-26.0
440,-40.872574
441,-25.827675
442,-26.164503
443,-26.0
444,-26.0
445,-26.0
446,-41.0
447,-41.0
448,-26.0
449,-26.0
450,34.537403
451,44.039307
452,46.417652
453,49.554214
454,52.065117
455,53.487297
456,53.944244
457,53.49726
458,51.38474
459,46.015564
460,36.932922
461,26.339243
462,18.95078
463,19.77342
464,29.401703
465,42.373093
466,52.305645
467,55.11833
468,50.33727
469,39.998962
470,25.211864
471,5.086737
472,-23.16561
473,-64.124725
474,-126.418045
475,-197.85448
476,-276.00156
477,-344.1392
478,-398.71112
479,-427.81906
480,-437.4185
481,-437.72604
482,-439.55273
483,4.303413
484,-12.621288
485,-0.3087417
486,-3.5595317
487,-7.1942964
488,-26.017084
489,-29.82637
490,-33.4194
491,-21.566532
492,-39.015842
493,-40.51168
494,-25.827768
495,-24.815361
496,-37.44639
497,-33.816414
498,-34.466125
499,-41.521107
500,-26.109385
501,-25.08347
502,-23.96267
503,-23.125277
504,-22.857275
505,-23.424744
506,-40.143387
507,-27.27695
508,-27.311205
509,-26.0
510,-41.0
511,-41.0
512,-26.0
513,-41.0
514,-41.0
515,-41.0
516,-26.0
517,34.537403
518,44.039375
519,46.42063
520,49.57653
521,52.139587
522,53.644596
523,54.23318
524,54.129353
525,53.059616
526,50.2444
527,45.831043
528,41.81091
529,41.30235
530,46.079105
531,53.02804
532,54.72717
533,39.798485
534,16.076683
535,-18.49853
536,-53.98297
537,-98.855194
538,-149.71812
539,-210.57237
540,-287.17844
541,-387.3698
542,-19.54175
543,-4.836262
544,-8.697217
545,-10.4806795
546,-25.328714
547,-24.319426
548,-8.276824
549,-7.78151
550,-8.292024
551,-24.903315
552,-27.287266
553,-30.249086
554,-18.628986
555,-37.238735
556,-25.875563
557,-43.860744
558,-28.714424
559,-41.0
560,-26.0
561,-41.0
562,-26.0
563,-41.0
564,-26.0
565,-41.0
566,-26.0
567,-26.0
568,-41.0
569,-41.0
570,-26.0
571,-26.0
572,-41.0
573,34.537403
574,44.039352
575,46.419647
576,49.569584
577,52.118057
578,53.601765
579,54.15743
580,53.966454
581,52.61923
582,49.08926
583,43.312798
584,37.3168
585,34.751503
586,38.601006
587,47.28868
588,54.346226
589,48.481224
590,36.643017
591,15.110049
592,-7.6671114
593,-40.59014
594,-80.13625
595,-129.90283
596,-195.19092
597,-284.00662
598,-381.37213
599,-3.7109244
600,-2.8171558
601,-4.966845
602,-20.237171
603,-4.57421
604,-3.7579093
605,-18.37665
606,-3.9100776
607,-20.49022
608,-7.829442
609,-25.733122
610,-29.034931
611,-32.54453
612,-21.061064
613,-39.377563
614,-42.250416
615,-28.639948
616,-42.37676
617,-41.0
618,-26.0
619,-26.0
620,-39.08183
621,-23.436684
622,-28.42501
623,-26.0
624,-26.0
625,-41.0
626,-26.0
627,-26.0
628,-26.0
629,-26.0
630,-41.0
631,-26.0
632,-26.0
633,-41.0
634,-26.0
635,-26.0
636,34.537403
637,44.03933
638,46.418045
639,49.555923
640,52.06474
641,53.469498
642,53.874016
643,53.25129
644,50.501656
645,43.248672
646,29.944103
647,11.909391
648,-5.9763684
649,-16.684618
650,-16.133759
651,-6.7991405
652,6.6547613
653,19.992277
654,30.568178
655,38.242104
656,44.538387
657,50.200733
658,54.43188
659,54.170036
660,39.1715
661,15.465659
662,-21.355223
663,-65.35426
664,-101.677
665,-132.7223
666,-154.12569
667,-170.66988
668,-188.80396
669,-215.69485
670,-256.41437
671,-311.4574
672,-379.97244
673,2.5205069
674,-17.145649
675,-6.7567463
676,-26.116858
677,-30.009245
678,-18.196
679,-35.43082
680,-36.485233
681,-21.189465
682,-19.475145
683,-31.390938
684,-17.052193
685,-23.782957
686,-38.852234
687,-38.213337
688,-22.38129
689,-36.751667
690,-36.635715
691,-22.322014
692,-39.141518
693,-27.237917
694,-43.57701
695,-26.0
696,-26.0
697,-41.0
698,-41.0
699,-41.0
700,-41.0
701,-41.0
702,34.537426
703,44.04011
704,46.42464
705,49.57999
706,52.117165
707,53.55481
708,54.009438
709,53.527946
710,51.204094
711,45.033745
712,34.029922
713,20.198893
714,8.853965
715,6.511147
716,15.457171
717,30.866074
718,45.705482
719,54.2364
720,54.015163
721,45.74246
722,30.052168
723,5.801919
724,-30.079464
725,-87.51201
726,-160.16591
727,-249.86674
728,-347.23624
729,-433.09436
730,0.69242454
731,-15.43953
732,-15.493924
733,-0.23795746
734,-0.29173604
735,-1.1725751
736,-18.052092
737,-5.6717844
738,-23.837486
739,-27.380415
740,-31.1108
741,-19.830223
742,-23.335503
743,-26.388447
744,-28.582924
745,-43.317352
746,-41.0
747,-26.0
748,-41.0
749,-38.950474
750,-23.263493
751,-43.58711
752,-41.0
753,-41.0
754,-41.0
755,-41.0
756,-41.0
757,-26.0
758,-26.0
759,-26.0
760,-26.0
761,-41.0
