timestep,reward
1,-4.6747727
2,-5.1713624
3,-6.1101236
4,-7.5950513
5,-9.336758
6,-5.9985385
7,-7.201333
8,-12.538054
9,-11.655888
10,-9.512089
11,-11.463179
12,-7.906361
13,-211.45116
14,-97.8018
15,-22.664583
16,23.734217
17,48.552223
18,54.192173
19,37.91214
20,-6.4590096
21,-81.76874
22,-184.47523
23,-14.886033
24,-23.629381
25,-25.813633
26,-32.193066
27,-33.63024
28,-46.02534
29,-50.828445
30,-47.84441
31,-46.5
32,-46.5
33,-46.5
34,-46.5
35,-46.5
36,-46.5
37,-46.5
38,-46.5
39,-14.674726
40,-5.1687174
41,-6.083248
42,-7.461034
43,-8.903275
44,-9.944305
45,-10.111072
46,-9.007466
47,-6.4324975
48,-7.5892205
49,-174.05994
50,-39.48211
51,35.17188
52,54.486755
53,37.51054
54,1.0665137
55,-47.32785
56,-103.12388
57,-187.86491
58,-13.665007
59,-23.391092
60,-33.061363
61,-42.027546
62,-44.635624
63,-49.624256
64,-49.41374
65,-41.5
66,-46.5
67,-46.5
68,-46.5
69,-46.5
70,-41.5
71,-14.674763
72,-5.1707954
73,-6.103874
74,-7.5618663
75,-9.225906
76,-10.728926
77,-11.676384
78,-11.667314
79,-10.366271
80,-7.7501283
81,-9.203896
82,-5.1690803
83,-108.08909
84,-14.646743
85,35.050674
86,53.67232
87,49.83436
88,26.302568
89,-19.935036
90,-94.42753
91,-197.84152
92,-16.491024
93,-26.259825
94,-34.567184
95,-36.35349
96,-42.48982
97,-43.508076
98,-50.504044
99,-46.5
100,-46.5
101,-46.5
102,-46.5
103,-41.5
104,-46.5
105,-46.5
106,-9.674772
107,-0.17138042
108,-1.1109742
109,-2.6041915
110,-4.3857203
111,-6.1715913
112,-12.669785
113,-13.588186
114,-13.683937
115,-7.97976
116,-6.836435
117,-5.589246
118,-9.535865
119,-8.92798
120,-8.781156
121,-3.7954383
122,-3.668505
123,-8.118923
124,-1.9097987
125,-5.0056834
126,2.3764973
127,-4.9821277
128,-132.3938
129,-63.77965
130,-10.439712
131,31.53244
132,48.74259
133,54.164764
134,41.678337
135,-7.0062404
136,-90.0764
137,-206.77802
138,-17.022877
139,-19.908709
140,-20.117048
141,-28.235714
142,-24.952394
143,-25.889153
144,-31.580427
145,-27.273699
146,-27.903862
147,-28.47137
148,-34.01194
149,-29.559998
150,-35.148617
151,-35.80968
152,-36.574028
153,-32.471867
154,-27.631493
155,-22.070127
156,-16.785854
157,-18.463268
158,-22.2269
159,-27.829473
160,-34.84967
161,-42.74283
162,-51.31301
163,-41.79917
164,-41.5
165,-41.5
166,-41.5
167,-46.5
168,-41.5
169,-46.5
170,-46.5
171,-41.5
172,-41.5
173,-41.5
174,-9.674772
175,-5.1713715
176,-1.1107312
177,-2.6019711
178,-4.3752637
179,-11.138967
180,-7.591692
181,-13.431733
182,-8.408571
183,-7.5431247
184,-11.203397
185,-9.741783
186,-8.47677
187,-2.6752384
188,-2.3611267
189,-2.2402577
190,-7.0131316
191,-6.401509
192,-0.17138147
193,1.714913
194,-0.951558
195,-172.6813
196,-87.10367
197,-30.782835
198,16.826754
199,49.441563
200,53.338127
201,56.251896
202,32.044586
203,-22.127913
204,-108.63732
205,-3.504759
206,-13.210911
207,-20.600983
208,-20.315296
209,-22.971472
210,-29.270363
211,-24.832935
212,-30.183334
213,-25.559582
214,-25.894594
215,-26.185991
216,-26.465307
217,-31.762848
218,-27.107763
219,-32.52863
220,-33.053894
221,-33.711414
222,-23.919088
223,-18.533186
224,-17.720892
225,-13.958409
226,-22.300034
227,-22.461401
228,-33.9959
229,-36.342117
230,-48.622753
231,-50.976177
232,-41.5
233,-46.5
234,-41.5
235,-46.5
236,-46.5
237,-46.5
238,-46.5
239,-46.5
240,-46.5
241,-41.5
242,-41.5
243,-37.513298
244,-33.825653
245,-31.435406
246,-27.147509
247,-31.944063
248,-14.674771
249,-5.1709533
250,-6.106459
251,-2.5805614
252,-9.305044
253,-10.964125
254,-7.2311807
255,-12.782705
256,-7.3538227
257,-5.959714
258,-8.968331
259,-6.73721
260,-4.5930624
261,-2.8138316
262,-1.448101
263,-0.25011584
264,-175.63747
265,-124.67317
266,-66.52054
267,-17.775236
268,28.446457
269,57.306686
270,55.51334
271,26.471472
272,-8.112704
273,-54.67729
274,-119.086945
275,-206.1456
276,-10.598347
277,-20.758076
278,-31.257317
279,-46.1134
280,-44.169464
281,-51.236706
282,-46.634766
283,-41.5
284,-41.5
285,-41.5
286,-41.5
287,-46.5
288,-46.5
289,-46.5
290,-41.5
291,-46.5
292,-46.5
293,-46.5
294,-46.5
295,-46.5
296,-41.92521
297,-27.49475
298,-26.381067
299,-28.614569
300,-37.749485
301,-43.708336
302,-44.074657
303,-48.96177
304,-41.5
305,-46.5
306,-41.5
307,-41.5
308,-41.5
309,-9.674772
310,-5.1713796
311,-6.1107316
312,-2.601145
313,-9.36681
314,-11.098382
315,-12.463925
316,-13.121503
317,-12.775351
318,-11.403826
319,-9.340678
320,-1.9173858
321,-4.4484425
322,2.7839577
323,4.710829
324,-161.53596
325,-106.21396
326,-49.007362
327,-1.3366311
328,38.46213
329,59.550476
330,46.738808
331,7.133987
332,-55.98725
333,-123.3877
334,-187.05228
335,-7.066728
336,-14.439216
337,-22.915804
338,-37.595917
339,-42.651337
340,-45.299168
341,-50.27372
342,-46.5
343,-41.5
344,-46.5
345,-41.5
346,-41.5
347,-41.5
348,-46.5
349,-46.5
350,-41.5
351,-46.5
352,-41.5
353,-41.5
354,-46.5
355,-41.5
356,-46.5
357,-46.26592
358,-37.46713
359,-31.997074
360,-39.98925
361,-39.78771
362,-48.74728
363,-42.71819
364,-46.5
365,-46.5
366,-9.674772
367,-0.1713804
368,-6.1109734
369,-2.604106
370,-4.3849792
371,-11.168238
372,-7.659433
373,-8.562871
374,-8.6318865
375,-7.889316
376,-11.704567
377,-10.431379
378,-9.389977
379,-3.8493297
380,-3.831803
381,-9.0331135
382,-4.13898
383,-8.853706
384,-2.9255664
385,-6.3055234
386,0.79903406
387,-1.8234377
388,-207.15747
389,-122.24558
390,-59.66616
391,-10.410878
392,32.56587
393,47.67597
394,53.924786
395,36.881866
396,-24.478655
397,-107.39684
398,-2.865114
399,-11.27092
400,-17.153744
401,-16.004803
402,-18.437614
403,-20.028858
404,-21.292618
405,-22.485958
406,-23.56551
407,-24.534372
408,-25.427532
409,-26.280691
410,-32.12938
411,-33.00845
412,-28.952057
413,-34.994015
414,-25.460302
415,-15.201633
416,-19.758766
417,-16.358463
418,-20.062956
419,-30.598358
420,-32.52935
421,-40.303852
422,-45.390396
423,-43.43696
424,-41.5
425,-41.5
426,-46.5
427,-41.5
428,-46.5
429,-41.5
430,-46.5
431,-41.5
432,-46.5
433,-41.5
434,-46.5
435,-14.674772
436,-5.171316
437,-1.109973
438,-2.5968719
439,-4.3545547
440,-11.079627
441,-7.4575763
442,-8.174763
443,-12.971773
444,-11.864482
445,-10.218552
446,-3.3860216
447,-6.68694
448,-0.39441139
449,-4.5499625
450,-3.8918204
451,-3.1543953
452,-2.0883803
453,-0.4801831
454,-157.24826
455,-85.94931
456,-20.751953
457,25.745142
458,46.57249
459,59.67277
460,53.475082
461,33.309418
462,-9.011586
463,-65.14325
464,-161.59813
465,-13.155341
466,-23.50688
467,-32.375595
468,-33.744854
469,-37.292324
470,-38.8098
471,-34.11157
472,-38.869267
473,-38.61134
474,-38.530506
475,-33.500374
476,-38.502556
477,-38.56368
478,-33.70926
479,-33.964256
480,-39.35332
481,-34.900658
482,-35.630207
483,-35.387627
484,-19.43057
485,-19.398193
486,-21.207659
487,-25.075779
488,-35.794746
489,-37.964954
490,-44.344868
491,-44.74479
492,-46.5
493,-41.5
494,-46.5
495,-46.5
496,-41.5
497,-41.5
498,-46.5
499,-41.5
500,-14.674772
501,-5.1711392
502,-1.1084596
503,-7.591264
504,-9.342224
505,-6.059626
506,-12.426705
507,-8.118823
508,-7.8589664
509,-11.6443
510,-4.8246636
511,-2.740876
512,-0.7058442
513,1.0098244
514,2.3589342
515,-1.4161528
516,4.921581
517,-163.58826
518,-98.64106
519,-32.823166
520,20.704676
521,52.35541
522,59.035233
523,39.045967
524,8.930634
525,-27.571335
526,-81.01333
527,-150.79182
528,-9.986698
529,-14.768872
530,-29.899872
531,-39.430435
532,-37.273304
533,-47.31166
534,-43.999344
535,-42.951458
536,-41.5
537,-41.5
538,-46.235943
539,-45.331173
540,-44.378098
541,-43.80416
542,-43.32935
543,-37.975414
544,-37.764103
545,-37.716858
546,-37.854507
547,-38.197372
548,-32.333645
549,-30.836542
550,-25.809021
551,-27.440847
552,-31.051163
553,-31.465431
554,-38.291252
555,-44.28549
556,-49.520973
557,-41.5
558,-46.5
559,-46.5
560,-41.5
561,-41.5
562,-41.5
563,-41.5
564,-41.5
565,-46.5
566,-41.5
567,-46.5
568,-9.674772
569,-0.17138042
570,-1.1109741
571,-2.604181
572,-9.38557
573,-11.1706705
574,-7.665296
575,-13.5711355
576,-13.635219
577,-7.8714232
578,-11.638152
579,-10.276379
580,-9.09319
581,-3.3464673
582,-8.053627
583,-7.915696
584,-2.631766
585,-1.9236797
586,-0.55953854
587,1.4907703
588,-0.99430525
589,-168.93448
590,-84.01925
591,-16.097042
592,20.74334
593,50.525425
594,59.652256
595,45.81062
596,17.69825
597,-52.4234
598,-146.19098
599,-12.809868
600,-17.727753
601,-25.264458
602,-25.045881
603,-27.721142
604,-34.022526
605,-34.59669
606,-34.985317
607,-30.423347
608,-30.82628
609,-31.190004
610,-31.549162
611,-31.936886
612,-37.38481
613,-37.92323
614,-38.581284
615,-39.387276
616,-29.304989
617,-18.49403
618,-18.33571
619,-25.060896
620,-23.845825
621,-34.464706
622,-41.50676
623,-48.695694
624,-45.686596
625,-41.5
626,-41.5
627,-46.5
628,-46.5
629,-46.5
630,-46.5
631,-46.5
632,-46.5
633,-41.5
634,-46.5
635,-9.674772
636,-0.17138042
637,-1.1109742
638,-2.6041915
639,-4.3857203
640,-11.171582
641,-12.669482
642,-8.585409
643,-13.671961
644,-7.9477816
645,-6.7753954
646,-10.5002575
647,-4.4364233
648,-3.853794
649,-3.7850637
650,-8.945119
651,-4.043635
652,-8.807451
653,-8.00082
654,-6.5806894
655,0.25096428
656,-2.701062
657,4.3914127
658,-167.5993
659,-111.658905
660,-54.145515
661,-7.4103327
662,27.332335
663,49.114437
664,52.373035
665,28.31148
666,-33.311928
667,-118.09163
668,-209.15643
669,-8.258047
670,-7.5260086
671,-10.390637
672,-17.394579
673,-14.032706
674,-15.567502
675,-16.97515
676,-23.259266
677,-19.450142
678,-25.579758
679,-21.681154
680,-27.787952
681,-23.933943
682,-30.15261
683,-21.10233
684,-16.367285
685,-10.654722
686,-17.122776
687,-20.737064
688,-26.180704
689,-32.995987
690,-35.61998
691,-43.368607
692,-46.28522
693,-46.601772
694,-46.5
695,-41.5
696,-46.5
697,-46.5
698,-41.5
699,-46.5
700,-41.5
701,-46.5
702,-41.5
703,-46.5
704,-38.747097
705,-36.681747
706,-28.24058
707,-14.674772
708,-5.171112
709,-1.1083406
710,-2.5913067
711,-9.344658
712,-11.071963
713,-7.468503
714,-8.230883
715,-13.108953
716,-7.125895
717,-5.652134
718,-4.041797
719,-7.616315
720,-1.6517422
721,-1.1905726
722,-0.9635815
723,-5.6931133
724,-0.116131395
725,0.994412
726,2.6785645
727,4.736274
728,-154.05093
729,-86.818375
730,-35.18874
731,2.048777
732,34.208374
733,53.515347
734,63.93381
735,55.500797
736,30.265226
737,-26.777344
738,-98.30368
739,-189.04155
740,-2.4804742
741,-12.371696
742,-10.442401
743,-12.276163
744,-18.40521
745,-19.298483
746,-15.189384
747,-21.034363
748,-16.82672
749,-17.588688
750,-18.344765
751,-19.120451
752,-19.941393
753,-25.833038
754,-21.820599
755,-22.760725
756,-13.130495
757,-12.025494
758,-8.1623535
759,-11.462106
760,-16.583675
761,-23.053267
762,-35.298363
763,-42.637695
764,-48.967533
765,-50.354145
