timestep,reward
1,-40.795467
2,-42.385403
3,-56.128212
4,-75.25295
5,-97.67574
6,-120.43229
7,-139.44351
8,-149.74796
9,-146.59187
10,-127.93201
11,-96.09148
12,-56.140724
13,-14.680674
14,16.37091
15,41.07951
16,50.325195
17,42.145184
18,16.959883
19,-22.807295
20,-74.53369
21,-138.07025
22,-216.10512
23,-314.26196
24,-440.68497
25,-32.72119
26,-49.81506
27,-66.57388
28,-79.7039
29,-76.93458
30,-72.0
31,-72.0
32,-72.0
33,-72.0
34,-72.0
35,-72.0
36,-72.0
37,-72.0
38,-72.0
39,-72.0
40,-45.795597
41,-42.393997
42,-56.194496
43,-75.422615
44,-97.57281
45,-118.47339
46,-132.23528
47,-132.32236
48,-113.910706
49,-77.65059
50,-31.401142
51,8.185097
52,39.724846
53,50.384155
54,37.26711
55,1.6455423
56,-52.527668
57,-119.87473
58,-194.85686
59,-274.2168
60,-354.46204
61,-17.465988
62,-29.051409
63,-42.566864
64,-58.244183
65,-75.236084
66,-79.32865
67,-72.55384
68,-72.0
69,-72.0
70,-72.0
71,-72.0
72,-72.0
73,-72.0
74,-45.795597
75,-42.38813
76,-56.13502
77,-75.107544
78,-96.38628
79,-114.93094
80,-123.71816
81,-115.868065
82,-88.44766
83,-46.069744
84,-5.159808
85,31.618912
86,49.55167
87,43.82027
88,14.413997
89,-35.434826
90,-100.76635
91,-175.93675
92,-255.66336
93,-332.37744
94,-418.54333
95,-18.853432
96,-34.946667
97,-48.098362
98,-63.556206
99,-78.46294
100,-78.00439
101,-72.0
102,-72.0
103,-72.0
104,-57.0
105,-57.0
106,-72.0
107,-72.0
108,-45.795727
109,-42.397545
110,-56.2562
111,-75.916405
112,-99.9345
113,-126.36485
114,-152.58322
115,-175.3252
116,-191.15208
117,-198.10872
118,-196.87727
119,-189.01733
120,-176.28918
121,-160.45287
122,-142.83713
123,-124.1564
124,-105.035706
125,-86.12104
126,-67.84518
127,-49.56739
128,-29.533852
129,-6.808802
130,17.771622
131,35.552937
132,49.22912
133,46.18122
134,23.579666
135,-15.263402
136,-61.753185
137,-101.65969
138,-140.87253
139,-173.9575
140,-202.49251
141,-229.18683
142,-256.55725
143,-286.01773
144,-318.85883
145,-356.6016
146,-400.8404
147,-11.752127
148,-2.4325883
149,-8.085281
150,-13.433543
151,-18.199156
152,-22.105938
153,-24.886637
154,-41.2928
155,-41.105858
156,-42.024548
157,-32.646366
158,-53.94017
159,-61.070065
160,-53.500515
161,-74.08279
162,-59.18545
163,-57.0
164,-72.0
165,-72.0
166,-72.0
167,-57.0
168,-57.0
169,-70.866844
170,-54.385723
171,-71.680786
172,-57.85894
173,-72.0
174,-57.0
175,-72.0
176,-57.0
177,-57.0
178,-57.0
179,-57.0
180,-72.0
181,-72.0
182,-57.0
183,-72.0
184,-57.0
185,-72.0
186,-72.0
187,-72.0
188,-57.0
189,-57.0
190,-72.0
191,-45.795727
192,-42.395912
193,-56.239323
194,-75.83137
195,-99.6479
196,-125.614456
197,-150.94604
198,-172.23203
199,-185.96869
200,-190.23344
201,-185.80157
202,-174.40092
203,-158.02788
204,-138.69154
205,-117.944916
206,-96.69202
207,-75.66432
208,-55.486256
209,-36.473755
210,-17.988634
211,1.3386079
212,21.679775
213,40.970913
214,48.872
215,46.592052
216,21.181791
217,-29.51869
218,-100.43429
219,-180.15392
220,-256.73038
221,-319.78003
222,-378.26462
223,-428.61566
224,1.2001998
225,-2.9045649
226,-21.83073
227,-10.741983
228,-29.823606
229,-34.24256
230,-23.994858
231,-43.8298
232,-33.489494
233,-52.724606
234,-41.28106
235,-43.906097
236,-45.358833
237,-60.42391
238,-58.92457
239,-59.02725
240,-64.53613
241,-55.416317
242,-74.410286
243,-57.93719
244,-57.0
245,-72.0
246,-72.0
247,-57.0
248,-72.0
