t,bg,meal,dose,reward
0,110.0,0,0.0,0.0
1,110.0,0,0.0,0.0
2,110.0,0,0.0,0.0
3,110.0,0,0.0,0.0
4,110.0,0,0.0,0.0
5,110.0,0,0.0,0.0
6,110.0,0,0.0,0.0
7,110.0,0,0.0,0.0
8,110.0,0,0.0,0.0
9,110.0,0,0.0,0.0
10,110.0,0,0.0,0.0
11,110.0,0,0.0,0.0
12,110.0,0,0.0,0.0
13,110.0,0,0.0,0.0
14,110.0,0,0.0,0.0
15,110.0,0,0.0,0.0
16,110.0,0,0.0,0.0
17,110.0,0,0.0,0.0
18,110.0,0,0.0,0.0
19,110.0,0,0.0,0.0
20,110.0,0,0.0,0.0
21,110.0,0,0.0,0.0
22,110.0,0,0.0,0.0
23,110.0,0,0.0,0.0
24,110.0,0,0.0,0.0
25,110.0,0,0.0,0.0
26,110.0,0,0.0,0.0
27,110.0,0,0.0,0.0
28,110.0,0,0.0,0.0
29,110.0,0,0.0,0.0
30,110.0,0,0.0,0.0
31,110.0,0,0.0,0.0
32,110.0,0,0.0,0.0
33,110.0,0,0.0,0.0
34,110.0,0,0.0,0.0
35,110.0,0,0.0,0.0
36,110.0,0,0.0,0.0
37,110.0,0,0.0,0.0
38,110.0,0,0.0,0.0
39,110.0,0,0.0,0.0
40,110.0,0,0.0,0.0
41,110.0,0,0.0,0.0
42,110.0,0,0.0,0.0
43,110.0,0,0.0,0.0
44,110.0,0,0.0,0.0
45,110.0,0,0.0,0.0
46,110.0,0,0.0,0.0
47,110.0,0,0.0,0.0
48,110.0,0,0.0,0.0
49,110.0,0,0.0,0.0
50,110.0,0,0.0,0.0
51,110.0,0,0.0,0.0
52,110.0,0,0.0,0.0
53,110.0,0,0.0,0.0
54,110.0,0,0.0,0.0
55,110.0,0,0.0,0.0
56,110.0,0,0.0,0.0
57,110.0,0,0.0,0.0
58,110.0,0,0.0,0.0
59,110.0,0,0.0,0.0
60,110.0,0,0.0,0.0
61,110.0,0,0.0,0.0
62,110.0,0,0.0,0.0
63,110.0,0,0.0,0.0
64,110.0,0,0.0,0.0
65,110.0,0,0.0,0.0
66,110.0,0,0.0,0.0
67,110.0,0,0.0,0.0
68,110.0,0,0.0,0.0
69,110.0,0,0.0,0.0
70,110.0,0,0.0,0.0
71,110.0,0,0.0,0.0
72,110.0,0,0.0,0.0
73,110.0,0,0.0,0.0
74,110.0,0,0.0,0.0
75,110.0,0,0.0,0.0
76,110.0,0,0.0,0.0
77,110.0,0,0.0,0.0
78,110.0,0,0.0,0.0
79,110.0,0,0.0,0.0
80,110.0,0,0.0,0.0
81,110.0,0,0.0,0.0
82,110.0,0,0.0,0.0
83,110.0,0,0.0,0.0
84,110.0,0,0.0,0.0
85,110.0,0,0.0,0.0
86,110.0,0,0.0,0.0
87,110.0,0,0.0,0.0
88,110.0,0,0.0,0.0
89,110.0,0,0.0,0.0
90,110.0,0,0.0,0.0
91,110.0,0,0.0,0.0
92,110.0,0,0.0,0.0
93,110.0,0,0.0,0.0
94,110.0,0,0.0,0.0
95,110.0,0,0.0,0.0
96,110.0,0,0.0,0.0
97,110.0,0,0.0,0.0
98,110.0,0,0.0,0.0
99,110.0,0,0.0,0.0
100,110.0,0,0.0,0.0
101,110.0,0,0.0,0.0
102,110.0,0,0.0,0.0
103,110.0,0,0.0,0.0
104,110.0,0,0.0,0.0
105,110.0,0,0.0,0.0
106,110.0,0,0.0,0.0
107,110.0,0,0.0,0.0
108,110.0,0,0.0,0.0
109,110.0,0,0.0,0.0
110,110.0,0,0.0,0.0
111,110.0,0,0.0,0.0
112,110.0,0,0.0,0.0
113,110.0,0,0.0,0.0
114,110.0,0,0.0,0.0
115,110.0,0,0.0,0.0
116,110.0,0,0.0,0.0
117,110.0,0,0.0,0.0
118,110.0,0,0.0,0.0
119,110.0,0,0.0,0.0
120,110.0,0,0.0,0.0
121,110.0,0,0.0,0.0
122,110.0,0,0.0,0.0
123,110.0,0,0.0,0.0
124,110.0,0,0.0,0.0
125,110.0,0,0.0,0.0
126,110.0,0,0.0,0.0
127,110.0,0,0.0,0.0
128,110.0,0,0.0,0.0
129,110.0,0,0.0,0.0
130,110.0,0,0.0,0.0
131,110.0,0,0.0,0.0
132,110.0,0,0.0,0.0
133,110.0,0,0.0,0.0
134,110.0,0,0.0,0.0
135,110.0,0,0.0,0.0
136,110.0,0,0.0,0.0
137,110.0,0,0.0,0.0
138,110.0,0,0.0,0.0
139,110.0,0,0.0,0.0
140,110.0,0,0.0,0.0
141,110.0,0,0.0,0.0
142,110.0,0,0.0,0.0
143,110.0,0,0.0,0.0
144,110.0,0,0.0,0.0
145,110.0,0,0.0,0.0
146,110.0,0,0.0,0.0
147,110.0,0,0.0,0.0
148,110.0,0,0.0,0.0
149,110.0,0,0.0,0.0
150,110.0,0,0.0,0.0
151,110.0,0,0.0,0.0
152,110.0,0,0.0,0.0
153,110.0,0,0.0,0.0
154,110.0,0,0.0,0.0
155,110.0,0,0.0,0.0
156,110.0,0,0.0,0.0
157,110.0,0,0.0,0.0
158,110.0,0,0.0,0.0
159,110.0,0,0.0,0.0
160,110.0,0,0.0,0.0
161,110.0,0,0.0,0.0
162,110.0,0,0.0,0.0
163,110.0,0,0.0,0.0
164,110.0,0,0.0,0.0
165,110.0,0,0.0,0.0
166,110.0,0,0.0,0.0
167,110.0,0,0.0,0.0
168,110.0,0,0.0,0.0
169,110.0,0,0.0,0.0
170,110.0,0,0.0,0.0
171,110.0,0,0.0,0.0
172,110.0,0,0.0,0.0
173,110.0,0,0.0,0.0
174,110.0,0,0.0,0.0
175,110.0,0,0.0,0.0
176,110.0,0,0.0,0.0
177,110.0,0,0.0,0.0
178,110.0,0,0.0,0.0
179,110.0,0,0.0,0.0
180,110.0,0,0.0,0.0
181,110.0,0,0.0,0.0
182,110.0,0,0.0,0.0
183,110.0,0,0.0,0.0
184,110.0,0,0.0,0.0
185,110.0,0,0.0,0.0
186,110.0,0,0.0,0.0
187,110.0,0,0.0,0.0
188,110.0,0,0.0,0.0
189,110.0,0,0.0,0.0
190,110.0,0,0.0,0.0
191,110.0,0,0.0,0.0
192,110.0,0,0.0,0.0
193,110.0,0,0.0,0.0
194,110.0,0,0.0,0.0
195,110.0,0,0.0,0.0
196,110.0,0,0.0,0.0
197,110.0,0,0.0,0.0
198,110.0,0,0.0,0.0
199,110.0,0,0.0,0.0
200,110.0,0,0.0,0.0
201,110.0,0,0.0,0.0
202,110.0,0,0.0,0.0
203,110.0,0,0.0,0.0
204,110.0,0,0.0,0.0
205,110.0,0,0.0,0.0
206,110.0,0,0.0,0.0
207,110.0,0,0.0,0.0
208,110.0,0,0.0,0.0
209,110.0,0,0.0,0.0
210,110.0,0,0.0,0.0
211,110.0,0,0.0,0.0
212,110.0,0,0.0,0.0
213,110.0,0,0.0,0.0
214,110.0,0,0.0,0.0
215,110.0,0,0.0,0.0
216,110.0,0,0.0,0.0
217,110.0,0,0.0,0.0
218,110.0,0,0.0,0.0
219,110.0,0,0.0,0.0
220,110.0,0,0.0,0.0
221,110.0,0,0.0,0.0
222,110.0,0,0.0,0.0
223,110.0,0,0.0,0.0
224,110.0,0,0.0,0.0
225,110.0,0,0.0,0.0
226,110.0,0,0.0,0.0
227,110.0,0,0.0,0.0
228,110.0,0,0.0,0.0
229,110.0,0,0.0,0.0
230,110.0,0,0.0,0.0
231,110.0,0,0.0,0.0
232,110.0,0,0.0,0.0
233,110.0,0,0.0,0.0
234,110.0,0,0.0,0.0
235,110.0,0,0.0,0.0
236,110.0,0,0.0,0.0
237,110.0,0,0.0,0.0
238,110.0,0,0.0,0.0
239,110.0,0,0.0,0.0
240,110.0,0,0.0,0.0
241,110.0,0,0.0,0.0
242,110.0,0,0.0,0.0
243,110.0,0,0.0,0.0
244,110.0,0,0.0,0.0
245,110.0,0,0.0,0.0
246,110.0,0,0.0,0.0
247,110.0,0,0.0,0.0
248,110.0,0,0.0,0.0
249,110.0,0,0.0,0.0
250,110.0,0,0.0,0.0
251,110.0,0,0.0,0.0
252,110.0,0,0.0,0.0
253,110.0,0,0.0,0.0
254,110.0,0,0.0,0.0
255,110.0,0,0.0,0.0
256,110.0,0,0.0,0.0
257,110.0,0,0.0,0.0
258,110.0,0,0.0,0.0
259,110.0,0,0.0,0.0
260,110.0,0,0.0,0.0
261,110.0,0,0.0,0.0
262,110.0,0,0.0,0.0
263,110.0,0,0.0,0.0
264,110.0,0,0.0,0.0
265,110.0,0,0.0,0.0
266,110.0,0,0.0,0.0
267,112.89333333333333,56,0.0,0.0
